primitive,PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-COMPARISON-MAP-XI-N,PRIM-DIRAC-SCALE-SELECTION,PRIM-PHYSICAL-MAGNITUDE-MAP,PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,PRIM-FORCED-SMOOTHING-WINDOW,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,PRIM-PERRON-PHI3-CARRIER,PRIM-NONCOMMUTING-TRIPLE,PRIM-FINITE-SPECTRAL-TRIPLE-REP,PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,PRIM-BRANCH-ISOTROPIC-READOUT,PRIM-CANONICAL-SELF-READING-FUNCTOR,PRIM-EDGE-HOLONOMY-SELECTOR,PRIM-EFT-IR-MATCHING-FUNCTIONAL,PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,PRIM-ISOMETRIC-DIRAC-J,PRIM-PHASON-COORDINATE-FUNCTOR,PRIM-PHASON-PRESSURE-ENERGY-ROLE-ASSIGNMENT,PRIM-SEAM-CROSSING-TICK-IDENTIFICATION
PRIM-SCENE-HISTORY-REFINEMENT-RULE,self,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,component-of,independent,independent,independent,independent,independent,independent,independent
PRIM-COMPARISON-MAP-XI-N,independent,self,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,component-of,independent,independent,independent
PRIM-DIRAC-SCALE-SELECTION,independent,independent,self,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,component-of,independent,independent,independent
PRIM-PHYSICAL-MAGNITUDE-MAP,independent,independent,independent,self,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent
PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,independent,independent,independent,independent,self,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent
PRIM-FORCED-SMOOTHING-WINDOW,independent,independent,independent,independent,independent,self,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent
PRIM-LEPTON-BRANCH-FIXING-OPERATOR,independent,independent,independent,independent,independent,independent,self,independent,independent,independent,independent,independent,component-of,independent,independent,independent,independent,independent,independent,independent
PRIM-PERRON-PHI3-CARRIER,independent,independent,independent,independent,independent,independent,independent,self,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent
PRIM-NONCOMMUTING-TRIPLE,independent,independent,independent,independent,independent,independent,independent,independent,self,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent
PRIM-FINITE-SPECTRAL-TRIPLE-REP,independent,independent,independent,independent,independent,independent,independent,independent,independent,self,independent,independent,component-of,independent,independent,subsumes,independent,independent,independent,independent
PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,self,independent,independent,independent,independent,independent,independent,independent,independent,independent
PRIM-BRANCH-ISOTROPIC-READOUT,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,self,independent,independent,independent,independent,independent,independent,independent,independent
PRIM-CANONICAL-SELF-READING-FUNCTOR,subsumes,independent,independent,independent,independent,independent,subsumes,independent,independent,subsumes,independent,independent,self,independent,independent,subsumes,independent,subsumes,subsumes,independent
PRIM-EDGE-HOLONOMY-SELECTOR,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,self,independent,independent,independent,independent,independent,independent
PRIM-EFT-IR-MATCHING-FUNCTIONAL,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,self,independent,independent,independent,independent,independent
PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,independent,independent,independent,independent,independent,independent,independent,independent,independent,component-of,independent,independent,component-of,independent,independent,self,independent,independent,independent,independent
PRIM-ISOMETRIC-DIRAC-J,independent,subsumes,subsumes,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,self,independent,independent,independent
PRIM-PHASON-COORDINATE-FUNCTOR,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,component-of,independent,independent,independent,independent,self,independent,independent
PRIM-PHASON-PRESSURE-ENERGY-ROLE-ASSIGNMENT,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,component-of,independent,independent,independent,independent,independent,self,independent
PRIM-SEAM-CROSSING-TICK-IDENTIFICATION,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,independent,self
