src,dst,relation,owner_claims,justification
PRIM-CANONICAL-SELF-READING-FUNCTOR,PRIM-FINITE-SPECTRAL-TRIPLE-REP,subsumes,D0-SELF-READING-PRIMITIVE-MINIMALITY-001,conjunction leg E1: the would-be single functor forces the finite spectral-triple rep (registry note: 'it is S0 (owned) + 4 semantically-independent primitives')
PRIM-CANONICAL-SELF-READING-FUNCTOR,PRIM-SCENE-HISTORY-REFINEMENT-RULE,subsumes,D0-SELF-READING-PRIMITIVE-MINIMALITY-001,conjunction leg E2: forces the scene-history refinement rule
PRIM-CANONICAL-SELF-READING-FUNCTOR,PRIM-PHASON-PRESSURE-ENERGY-ROLE-ASSIGNMENT,subsumes,D0-SELF-READING-PRIMITIVE-MINIMALITY-001,conjunction leg E3 (role factor): forces the phason pressure/energy role assignment
PRIM-CANONICAL-SELF-READING-FUNCTOR,PRIM-PHASON-COORDINATE-FUNCTOR,subsumes,D0-SELF-READING-PRIMITIVE-MINIMALITY-001,conjunction leg E3 (cocycle factor): forces the phason coordinate functor
PRIM-CANONICAL-SELF-READING-FUNCTOR,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,subsumes,D0-SELF-READING-PRIMITIVE-MINIMALITY-001,conjunction leg E4: forces the lepton branch-fixing operator
PRIM-CANONICAL-SELF-READING-FUNCTOR,PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,subsumes,D0-SELF-READING-PRIMITIVE-MINIMALITY-001 + D0-POSTCORE-REPRESENTATION-EXTENSION-NOGO-001,"transitive: E1 leg supplies the full (rho,Gamma,J,Q_role) interface, whose Gamma restricts to the M3 grading operator"
PRIM-ISOMETRIC-DIRAC-J,PRIM-DIRAC-SCALE-SELECTION,subsumes,D0-VNEXT-ISOMETRIC-DIRAC-TOWER-NOGO-001,vNext split: 'a Dirac-compatible tower requires ... a forced scale law (Outcome C)'; a Dirac completion carries its scale
PRIM-ISOMETRIC-DIRAC-J,PRIM-COMPARISON-MAP-XI-N,subsumes,D0-VNEXT-ISOMETRIC-DIRAC-TOWER-NOGO-001,vNext split: 'requires ... a canonical comparison map Xi_N (Outcome D)'; the NOGO says the single primitive splits into +2
PRIM-FINITE-SPECTRAL-TRIPLE-REP,PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,subsumes,D0-POSTCORE-REPRESENTATION-EXTENSION-NOGO-001 + D0-GRADING-NEUTRAL-CURRENT-MAXIMALITY-NOGO-001,"GRADAXIS component: the E1 completion interface (rho,Gamma,J,Q_role) contains the grading operator whose M3 restriction is exactly this PRIM's datum; converse fails (a grading does not give the rep)"

# core_excluded,reason,,,
PRIM-CANONICAL-SELF-READING-FUNCTOR,"proven conjunction-of-independent (bundle), D0-SELF-READING-PRIMITIVE-MINIMALITY-001 (LEAN_PROVED)",,,
PRIM-ISOMETRIC-DIRAC-J,"NOGO-split bundle, D0-VNEXT-ISOMETRIC-DIRAC-TOWER-NOGO-001 ('splits into +2 independent primitives')",,,
PRIM-GRADING-NEUTRAL-CURRENT-OPERATOR,subsumed component of the E1 interface (GRADAXIS split keeps the row as the sharper G2-typed object),,,
