chunk_id,layer,book,kind,marker,concept,present_in_v14,v14_locations,verdict,target_section,strength,note,critic_flag,critic_note
golden-BOOK-I-ARCHITECTURE-0000,golden,BOOK-I-ARCHITECTURE,SECTION,# D0 — ЕДИНЫЙ КОРПУС ТЕОРИИ РАЗЛИЧИМОСТИ,Corpus title page 'D0 — Unified Corpus of Distinguishability Theory',,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0001,golden,BOOK-I-ARCHITECTURE,SECTION,## BOOK I — ARCHITECTURE,BOOK I logical route: axiomatic DEF -> Sigma -> phi -> scene 9-11-13 -> rank/nullity,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0002,golden,BOOK-I-ARCHITECTURE,SECTION,### Содержание,BOOK I table of contents (chapters I.1-I.5),,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0003,golden,BOOK-I-ARCHITECTURE,SECTION,## Навигация и идентификаторы,"Navigation and identifiers (CHAPTER I.k, D0 sect numbering, status labels)",,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0004,golden,BOOK-I-ARCHITECTURE,SECTION,### I.N — Реестр обозначений (фиксировано для BOOK I),"Notation registry for BOOK I (C*, D_min, Delta, Can, oplus, F_0, F, K(a,b,c))",,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0005,golden,BOOK-I-ARCHITECTURE,LEM,[LEM I.N.1] (Can не удлиняет; CORE).,"LEM I.N.1: Can does not lengthen, |Can(s)|<=|s|, from minimality of D_min (CORE)",no,,integrate,BOOK_01.4,supporting,v14 uses 'canonical' only for Laplacians/stress reps; the M1+ code-canonicalization (Can non-lengthening tied to D_min minimality) is absent as an explicit lemma,,
golden-BOOK-I-ARCHITECTURE-0006,golden,BOOK-I-ARCHITECTURE,SECTION,## CHAPTER I.1 — Аксиоматический базис,CHAPTER I.1 header 'Axiomatic basis',,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0007,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.0 — Назначение Корпуса,"D0 sect0.0 Purpose: D0 asks what criteria a theory must meet to be finite, verifiable, observer-arbitrary-free; introduces M1 and M1+",partial,BOOK_00 sect00.2; BOOK_00 sect00.13,integrate,BOOK_00.2,core-forcing,v14 states the finite-observability primitive thesis but drops the explicit framing that the whole corpus is the answer to 'what must any theory satisfy to be finite/verifiable/observer-free' driven by M1 (no-exogenous-parameter) + M1+ (recursion stop rule),,
golden-BOOK-I-ARCHITECTURE-0008,golden,BOOK-I-ARCHITECTURE,REM,"[REM 0.0.A] (D0 как скелет, а не «конкурент» теорий).",REM 0.0.A: D0 is an architectural skeleton not a competitor; upper-floor theories enter as FORMALISM/BRIDGE with a PASS/FAIL projection,partial,BOOK_00 sect00.7; BOOK_00 sect00.12; BOOK_00 sect00.14,integrate,BOOK_00.7,supporting,"v14 bridge-austerity / relation-to-physics covers the 'not a competitor, typed bridge' stance but drops the explicit point that internal critique = localization of a refinement site (error strengthens the corpus by sharpening falsification)",,
golden-BOOK-I-ARCHITECTURE-0009,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.1 — Уровни утверждений и аксиоматический базис,D0 sect0.1 header: claim levels and axiomatic basis,,,skip,,peripheral,non-conceptual (nav/registry),,
golden-BOOK-I-ARCHITECTURE-0010,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.1.1] (Метки строгости).,DEF 0.1.1: rigor labels DEF/LEM/THE/HYP/APPX/VER taxonomy with their proof obligations,partial,BOOK_00 sect00.8; BOOK_00 sect00.15; BOOK_05,integrate,BOOK_00.8,supporting,"v14 has a status/certificate-tier discipline (core/bridge/passport, assertion discipline) but does not carry the GOLDEN DEF/LEM/THE/HYP/APPX/VER label taxonomy with its explicit per-label proof obligations",,
golden-BOOK-I-ARCHITECTURE-0011,golden,BOOK-I-ARCHITECTURE,DEF,"[DEF 0.1.2] (Принцип Корректности). Если утверждение нельзя вывести логически из предыдущих DEF/LEM/THE, оно запрещено к маркировке как THE. Скрытые аксиомы, вв",DEF 0.1.2 Correctness principle: no statement provable from prior DEF/LEM/THE may be marked THE; hidden default axioms forbidden,partial,BOOK_00 sect00.8; BOOK_00 sect00.23,integrate,BOOK_00.8,supporting,"v14 proof-ownership/promotion discipline forbids unproven promotion, but the explicit 'no hidden default axioms' correctness rule is not stated as a named principle",,
golden-BOOK-I-ARCHITECTURE-0012,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.2 — Протокол Доказательств,D0 sect0.2: proof protocol forbids 'proof by obviousness'; only Reduction-to-Contradiction-with-Realizability allowed,partial,BOOK_05 sect05 (foundational-algebra contradiction); BOOK_01 sect01.11,integrate,BOOK_00.8,core-forcing,v14 uses contradiction proofs but never states the methodological ban on 'obviousness' nor names Reduction-to-Contradiction-with-Realizability as THE admissible proof protocol; this is the forcing engine the M1 gate exists to protect,,
golden-BOOK-I-ARCHITECTURE-0013,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.2.2] (Схема редукции к противоречию через экзогенную параметризацию).,DEF 0.2.2 forcing-by-contradiction schema: assume not-X -> needs undefined structure theta -> theta is exogenous -> violates M1 -> X forced,partial,BOOK_00 sect00.9; BOOK_05 sect05.x,integrate,BOOK_00.8,core-forcing,"M1 failure mode: the named 5-step forcing schema (DEF-0.2.2, the load-bearing 'forcing = contradiction via exogenous parameterization' engine of the whole corpus) is NOT present as an explicit recipe; v14 keeps only ad hoc per-result contradiction arguments",,
golden-BOOK-I-ARCHITECTURE-0014,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.2.3] (Критерий необходимости (проверка на избыточность)). После каждой теоремы проводится проверка на физический смысл удаления элемента:,"DEF 0.2.3 necessity criterion (Occam test): after each theorem ask what breaks if the element is removed; if nothing breaks in distinguishability, delete it",partial,BOOK_00 sect00.9; BOOK_00 sect00.23,integrate,BOOK_00.9,supporting,v14 anti-numerology/no-decorative-layer rules express the spirit (an element must remove a concrete ambiguity) but drop the explicit post-theorem necessity/redundancy test phrased as distinguishability-breakage,,
golden-BOOK-I-ARCHITECTURE-0015,golden,BOOK-I-ARCHITECTURE,SECTION,D0 §0.3 — Реализуемость и экзогенная параметризация,"D0 sect0.3: realizability + background independence (MDL) goal — claims reduce to finite checks, no exogenous background info",partial,BOOK_00 sect00.13; BOOK_00 sect00.2,integrate,BOOK_00.13,supporting,"v14 constructive-formalization discipline forbids dependence on uncomputable/exogenous objects, but does not name the background-independence + MDL minimality framing as the methodological goal",,
golden-BOOK-I-ARCHITECTURE-0016,golden,BOOK-I-ARCHITECTURE,DEF,[DEF 0.3.0] (Определение как граница различимости).,"DEF 0.3.0: definition as a distinguishability boundary; chi_X: C* -> {0,1}; a set = boundary + interior, boundary is a bit-returning procedure",partial,BOOK_00 sect00.3; BOOK_01 sect01.3,integrate,BOOK_00.3,supporting,"v14 has finite binary distinguishability Delta and the measurement dyad, but the operational rule 'to define = give a computable membership boundary chi_X returning a bit' is not stated as a definition principle",,
