claim_id,book,section,lean_module,lean_theorem,lean_status,uses_bridge_assumptions,assumption_ids,python_cert,release_status,notes
D0-LEAN-CORE-001,Lean formalization,status,D0.TheoremLedger.ReleaseStatus,lean_core_release_candidate,LEAN_PROVED,False,,,CORE-FORMALIZED,Release-candidate core status backed by build and CI.
D0-LEAN-BRIDGE-001,Lean formalization,status,D0.TheoremLedger.ReleaseStatus,lean_bridge_assumptions_explicit,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,True,ASSUMP-HURWITZ-GOLDEN;ASSUMP-RG-SMOOTH-INTERP;ASSUMP-LORENTZ-MACRO;ASSUMP-SMOOTH-COVARIANCE;ASSUMP-SMOOTH-HEATTRACE;ASSUMP-HST-EXTERNAL,,BRIDGE-ASSUMPTIONS-EXPLICIT,Bridge assumptions isolated from core.
D0-FOUND-001,BOOK_01/02,primitive positive response,D0.Core.Phi,primitive_quadratic_unique_pos_root,LEAN_PROVED,False,,,CORE-FORMALIZED,Exact p+p^2=1 positive root uniqueness.
D0-PHI-HURWITZ-001,BOOK_01/02,D0-class Hurwitz/minimax phase rigidity,D0.NumberTheory.HurwitzMinimaxPhi,HURWITZ_MINIMAX_D0_CLASS_PROVED,LEAN_PROVED,False,,,CORE-FORMALIZED,D0 admissible period-one quadratic phase class proved; full global Lagrange spectrum remains external mathematical background.
D0-ABCD-001,BOOK_01,ABCD role alphabet,D0.Core.DyadABCD,ABCD_cardinality,LEAN_PROVED,False,,,CORE-FORMALIZED,ABCD represented as Dyad x Dyad.
D0-OMEGA8-001,BOOK_01,Omega8 detector cycle,D0.Core.DyadABCD,omega8_cardinality,LEAN_PROVED,False,,,CORE-FORMALIZED,Omega8 represented as Role x Bool.
D0-CAPACITY-V9-001,BOOK_01/02,V9 capacity,D0.Core.FiniteTypes,card_v9,LEAN_PROVED,False,,,CORE-FORMALIZED,V9 exact cardinality.
D0-CAPACITY-V11-001,BOOK_01/02,V11 capacity,D0.Core.FiniteTypes,card_v11,LEAN_PROVED,False,,,CORE-FORMALIZED,V11 exact cardinality.
D0-CAPACITY-V13-001,BOOK_01/02,V13 capacity,D0.Core.FiniteTypes,card_v13,LEAN_PROVED,False,,,CORE-FORMALIZED,V13 exact cardinality.
D0-SCENE-001,BOOK_01/02,"K(9,11,13) counts",D0.Combinatorics.Tripartite,vertex_count_K_9_11_13;edge_count_K_9_11_13;triangle_count_K_9_11_13,LEAN_PROVED,False,,,CORE-FORMALIZED,Tripartite counts 33/359/1287.
D0-NCG-INDEX-001,BOOK_02,no 3-simplices guardrail,D0.Combinatorics.Tripartite,no_3_simplices_clique_complex,LEAN_PROVED,False,,,CORE-FORMALIZED,No four-partite clique guardrail.
D0-PHASE-UNFOLD-002,BOOK_01/02,forced return windows,D0.Phase,forced_terminal_window;terminal_window_totient;forced_ew_window;ew_window_totient;ew_depth,LEAN_PROVED,False,,,CORE-FORMALIZED,Exact 44 and 710 forced-window arithmetic.
D0-QM-BORN-001,BOOK_02,finite Born normalization,D0.Born,finite_born_sum_one,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,True,ASSUMP-HST-EXTERNAL,,BRIDGE-ASSUMPTIONS-EXPLICIT,Finite skeleton under explicit finite response assumptions; no full Gleason claim.
D0-QM-BORN-002,BOOK_02,finite Born nonnegativity,D0.Born,finite_born_nonnegative,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,True,ASSUMP-HST-EXTERNAL,,BRIDGE-ASSUMPTIONS-EXPLICIT,Finite skeleton under explicit finite response assumptions.
D0-CARRIER-003,D0_OPERATOR_BRIDGE_TRIPLE_CLOSURE,Lorentz Clifford carrier,D0.Algebra.Clifford,clifford_relation,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,True,ASSUMP-LORENTZ-MACRO,vp_v1145_operator_bridge_triple.py,CORE_BRIDGE_SPLIT,Finite Clifford relation is core; Lorentz macro integration is bridge.
D0-GAUGE-MATTER-001,BOOK_02/04,boundary skeleton,D0.Topology.BoundaryBoundary,boundary_boundary_zero,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,True,ASSUMP-HST-EXTERNAL,vp_v1132_gauge_matter_ward_anomaly.py,BRIDGE-ASSUMPTIONS-EXPLICIT,Boundary skeleton conditional on declared incidence pair.
D0-GAUGE-MATTER-002,BOOK_02/04,rational anomaly sums,D0.Gauge.AnomalySums,grav_U1_anomaly_sum;U1_cubic_anomaly_sum;SU2_SU2_U1_anomaly_sum;SU3_SU3_U1_anomaly_sum,LEAN_PROVED,False,,vp_v1132_gauge_matter_ward_anomaly.py,CORE-FORMALIZED,Exact rational one-generation anomaly sums.
D0-RG-001,D0_OPERATOR_BRIDGE_TRIPLE_CLOSURE,phi discrete RG,D0.Bridge.PhiDiscreteRG,phi_rg_bridge_conditional,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,True,ASSUMP-RG-SMOOTH-INTERP,vp_v1145_operator_bridge_triple.py,BRIDGE-ASSUMPTIONS-EXPLICIT,Scale algebra plus explicit smooth interpolation assumption.
D0-SMOOTH-001,D0_OPERATOR_BRIDGE_TRIPLE_CLOSURE,smooth metric bridge,D0.Bridge.SmoothMetricBridge,smooth_metric_bridge_conditional,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,True,ASSUMP-SMOOTH-COVARIANCE;ASSUMP-SMOOTH-HEATTRACE,vp_v1145_operator_bridge_triple.py,BRIDGE-ASSUMPTIONS-EXPLICIT,Smooth geometry remains conditional.
D0-PHASE-TOWER-001,BOOK_01/02,phase tower minimality and recursion,D0.Combinatorics.PhaseTowerMinimality,terminalWindow_minimal;fullOrientedWindow_minimal;fullOrientedWindow_C0_minimal,LEAN_PROVED,False,,,CORE-FORMALIZED,"Forced windows are minimal synchronization moduli, not post-hoc choices."
D0-PHASE-TOWER-002,BOOK_01/02,infinite phase tower bookkeeping,D0.Combinatorics.InfinitePhaseTower,capacity_recursion_total;forced_terminal_window_all;current_recursion_stabilizes_at_shell_two,LEAN_PROVED,False,,,NO_GO_PROVED,Formal tower exists but current terminal recursion stabilizes; direct Einstein tower is not derived here.
