claim_id,layer,status,owner_module,certificate,book_section,depends_on,remaining_artifact,is_global_blocker
D0-STATIC-TO-DYNAMICS-OWNER-001,A-static-to-dynamics,CERT-CLOSED,D0.Evolution.StaticToDynamicsOwner,vp_static_to_dynamics_owner.py,BOOK_06/06.8.S,,,False
D0-JY-NONCOMMUTATIVE-ORDER-OBSTRUCTION-001,A-static-to-dynamics,CERT-CLOSED,D0.Evolution.JYNoncommutativeOrderObstruction,vp_jy_noncommutative_order_obstruction.py,BOOK_06/06.8.S,,,False
D0-TIME-ARROW-ORDERED-SELF-READOUT-001,A-static-to-dynamics,CERT-CLOSED,D0.Evolution.JYNoncommutativeOrderObstruction,vp_jy_noncommutative_order_obstruction.py,BOOK_06/06.8.S,,,False
D0-FESHBACH-SCHUR-TIME-DELAY-OWNER-001,A-static-to-dynamics,CERT-CLOSED,D0.Evolution.FeshbachSchurTimeDelayOwner,vp_feshbach_schur_time_delay_owner.py,BOOK_06/06.8,,,False
D0-ARCHIVE-NEUMANN-TICK-OWNER-001,A-static-to-dynamics,CERT-CLOSED,D0.Evolution.FeshbachSchurTimeDelayOwner,vp_archive_neumann_tick_owner.py,BOOK_06/06.8,,,False
D0-PHI-FRACTAL-TICK-DYNAMICS-OWNER-001,A-static-to-dynamics,CERT-CLOSED,D0.Evolution.PhiFractalTickDynamics,vp_phi_fractal_tick_dynamics.py,BOOK_06/06.6,,,False
D0-CONTINUOUS-TIME-SEMIGROUP-ENVELOPE-001,A-static-to-dynamics,CERT-CLOSED,D0.Evolution.PhiFractalTickDynamics,vp_continuous_time_semigroup_envelope.py,BOOK_06/06.6,,,False
D0-DYNAMICS-NOT-PRIMITIVE-CERT-CLOSED-001,A-static-to-dynamics,CERT-CLOSED,D0.Evolution.StaticToDynamicsOwner,vp_dynamics_not_primitive.py,BOOK_06/06.8.S,,,False
D0-CONSTRAINED-HAMILTONIAN-EMBEDDING-PASSPORT-001,B-nature-bridge,PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_06/06.8.H,,,False
D0-NONRECIPROCAL-ACTIVE-DYNAMICS-FORMALISM-BRIDGE-001,B-nature-bridge,PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_03/03.3,,,False
D0-FESHBACH-CONSTRAINT-SUBMANIFOLD-BRIDGE-001,B-nature-bridge,PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_06/06.8.H,,,False
D0-FLOQUET-NONRECIPROCAL-DYNAMICS-BRIDGE-001,B-nature-bridge,PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_06/06.8.H,,,False
D0-DIXMIER-RESIDUE-OWNER-001,C1-alpha,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.DixmierTraceBridge,vp_cvft_clifford_fock_capacity.py,BOOK_02/residue-extraction owner (Dixmier trace / noncommutative integral) for the CVFT-F1 mu2=2^11 amplitude (02.13.4),,,False
D0-DIXMIER-FESHBACH-FINITE-HEATTRACE-001,C1-alpha,NO-GO,D0.Spectral.DixmierFeshbachFiniteHeatTrace,vp_dixmier_feshbach_finite_heattrace.py,BOOK_02/02.13,,,False
D0-CKM-CLASS5-SELECTOR-OWNER-001,C2-ckm,CERT-CLOSED,D0.Matter.CKMClass5SelectorOwner,vp_ckm_class5_selector_owner.py,BOOK_04/04.10,,,False
D0-CLASS5-ALIASING-001,C2-ckm,CORE-FORMALIZED,D0.Claims.Class5Aliasing,vp_class5_aliasing_cabibbo.py,BOOK_04/class-5 aliasing exclusion (Cabibbo soft joint),,,False
D0-LEPTON-GREEN-PUISEUX-OPERATOR-001,C3-lepton,CERT-CLOSED,D0.Matter.LeptonGreenPuiseuxOwner,vp_lepton_green_puiseux_operator.py,BOOK_04/04.8,,,False
D0-LEPTON-RIEMANN-HURWITZ-BRANCH-INDEX-001,C3-lepton,CERT-CLOSED,D0.Matter.LeptonRiemannHurwitzBranchIndex,vp_lepton_riemann_hurwitz_branch_index.py,BOOK_04/04.8,,,False
D0-PHASON-ARCHIVE-CAPACITY-REDSHIFT-001,C4-phason,CERT-CLOSED,D0.Cosmology.PhasonArchiveCapacityRedshift,vp_phason_archive_capacity_redshift.py,BOOK_08/08.51,,,False
D0-PHASON-WZ-CPL-PASSPORT-001,C4-phason,PASSPORT-CLOSED,,vp_phason_wz_cpl_passport.py,BOOK_08/08.51,,,False
D0-ADLER-WEISS-PARTITION-OWNER-001,C5-toral,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.AdlerWeissBridge,vp_fibonacci_if_bratteli.py,BOOK_06/symbolic-conjugacy owner (Adler-Weiss Markov partition + SFT finite-equivalence) for the I_f categorical<->toral map (01.21.4/06),,,False
D0-WILLIAMS-SHIFT-EQUIVALENCE-OWNER-001,C5-toral,CERT-CLOSED,D0.Dynamics.ToralShiftEquivalence,vp_toral_shift_equivalence.py,BOOK_06/06.30a,,,False
D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,C6-higgs,CERT-CLOSED,D0.Matter.HiggsLogdetStationary,vp_higgs_logdet_stationary.py,BOOK_04/04.16,,,False
D0-HIGGS-SCALAR-PROJECTOR-CONSTRUCTIVE-001,C6-higgs,CORE-FORMALIZED,D0.Matter.HiggsScalarProjectorConstructive,vp_higgs_scalar_projector_constructive.py,BOOK_04/constructive finite Higgs scalar projector,,,False
D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001,C7-hypercharge,NO-GO,D0.Matter.HyperchargeAnomalyVariety,vp_hypercharge_anomaly_variety.py,BOOK_04/04.11,,,False
D0-SM-HYPERCHARGE-MINIMAL-DENOMINATOR-001,C7-hypercharge,CERT-CLOSED,D0.Matter.HyperchargeMinimalDenominator,vp_sm_hypercharge_minimal_denominator.py,BOOK_04/04.9,,,False
D0-HYPERCHARGE-FLOW-LATTICE-001,C7-hypercharge,CERT-CLOSED,D0.Matter.HyperchargeFlowLattice,vp_hypercharge_graph_flow_owner.py,BOOK_04/04.11,,,False
D0-CMB-NS-LAPLACIAN-IDS-OWNER-001,C8-cmb,CERT-CLOSED,D0.Cosmology.CMBLaplacianIDS,vp_cmb_ns_laplacian_ids.py,BOOK_08/08.v15,,,False
D0-REHEATING-HEAT-TRACE-JUMP-001,C8-cmb,CERT-CLOSED,D0.Cosmology.ReheatingHeatTraceJump,vp_reheating_heat_trace_jump.py,BOOK_08/08.v15,,,False
D0-NEUTRINO-MASS-PASSPORT-001,D-passport,PASSPORT-CLOSED,,vp_neutrino_mass_passport.py,BOOK_04/04.8,,,False
D0-REHEATING-ENERGY-BUDGET-OWNER-001,C8-cmb,CERT-CLOSED,D0.Cosmology.ReheatingEnergyBudgetOwner,vp_reheating_energy_budget_owner.py,BOOK_08/08.v15,,,False
D0-REHEATING-HEATTRACE-ENERGY-FUNCTIONAL-001,C8-cmb,CERT-CLOSED,D0.Cosmology.HeatTraceEnergyFunctional,vp_heat_trace_energy_functional.py,BOOK_08/08.v15,,,False
D0-INFLATIONLESS-THRESHOLD-ENERGY-OWNER-001,misc,CERT-CLOSED,D0.Cosmology.InflationlessThresholdEnergyOwner,vp_inflationless_threshold_energy_owner.py,BOOK_08/08.v15,,,False
D0-REHEATING-NO-INFLATON-NOGO-001,C8-cmb,NO-GO,D0.Cosmology.InflationlessThresholdEnergyOwner,vp_inflationless_threshold_energy_owner.py,BOOK_08/08.v15,,,False
D0-ALPHA-FESHBACH-DIXMIER-OWNER-001,C1-alpha,PROOF-TARGET,,vp_alpha_feshbach_dixmier_owner.py,BOOK_02/02.13,,missing profinite/tower Dixmier pairing: residue->Delta_alpha normalization over the infinite 2^11 tower (external Dixmier/Wodzicki); finite heat trace cannot supply the 1/s pole,True
D0-LEPTON-INDIRECT-COEFFICIENT-OWNER-001,C3-lepton,PROOF-TARGET,,vp_lepton_indirect_coefficient_owner.py,BOOK_04/04.8,,"missing finite Green resolvent G_shell over the shell torus with provably-(0,1/4,1/3) branch indices PLUS operator uniqueness (branch index alone does not determine the operator)",True
