claim_id,current_status,lean_status,owner_present,open_inside_prose,contradiction,remediation
D0-LEAN-CORE-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-LEAN-BRIDGE-001,BRIDGE-ASSUMPTIONS-EXPLICIT,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,yes,no,none,none
D0-FOUND-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-PHI-HURWITZ-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ABCD-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-OMEGA8-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-OMEGA8-CENTER-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-CAPACITY-V9-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-CAPACITY-V11-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-CAPACITY-V13-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-SCENE-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-NCG-INDEX-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-PHASE-UNFOLD-002,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-QM-BORN-001,BRIDGE-ASSUMPTIONS-EXPLICIT,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,yes,no,none,none
D0-QM-BORN-002,BRIDGE-ASSUMPTIONS-EXPLICIT,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,yes,no,none,none
D0-CARRIER-003,CORE_BRIDGE_SPLIT,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,yes,no,none,none
D0-GAUGE-MATTER-001,BRIDGE-ASSUMPTIONS-EXPLICIT,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,yes,no,none,none
D0-GAUGE-MATTER-002,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-RG-001,BRIDGE-ASSUMPTIONS-EXPLICIT,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,yes,no,none,none
D0-SMOOTH-001,BRIDGE-ASSUMPTIONS-EXPLICIT,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,yes,no,none,none
D0-PHASE-TOWER-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-PHASE-TOWER-002,NO_GO_PROVED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-TOWER-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-MODE-EXPONENT-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-HEATTRACE-001,CERT-CLOSED,PYTHON_CERTIFIED,yes,no,none,none
D0-ARCHIVE-LAPLACIAN-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-RESOLVENT-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-SPECTRAL-ACTION-ADMISS-001,CERT-CLOSED,PYTHON_CERTIFIED,yes,no,none,none
D0-HST-ARCHIVE-001,CERT-CLOSED,PYTHON_CERTIFIED,yes,no,none,none
D0-ARCHIVE-ENTROPY-001,CERT-CLOSED,PYTHON_CERTIFIED,yes,no,none,none
D0-DM-CLASSICALITY-001,CERT-CLOSED,PYTHON_CERTIFIED,yes,no,none,none
D0-ARCHIVE-GAUSSIAN-CHANNEL-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-GRAV-QNM-001,NO_GO_PROVED,PYTHON_CERTIFIED,yes,no,none,none
D0-GENERATION-RAYS-001,NO_GO_PROVED,LEAN_PROVED,yes,no,none,none
D0-GEN-INDEX-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-GEN-MASS-001,NO_GO_PROVED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-PHASE-DISTANCE,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-LAPLACIAN-PHASE-NATURALITY,NO_GO_PROVED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-PHASE-CURVATURE,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-LAPLACIAN-RG,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-SEAM-CURVATURE-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-ACTION-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-FIELD-EQ-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-BIANCHI-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-MATTER-STRESS-COUPLING-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-VARIATION-DUAL-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-STRESS-REP-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-WEAK-FIELD-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-MATTER-SOURCE-NEUTRALITY-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-MATTER-REP-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-MATTER-ANOMALY-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-GEOM-OBSTRUCT-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-STRESS-CONSERVATION-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-ARCHIVE-SCALAR-REDUCTION-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
D0-MATTER-LOCALIZATION-001,CORE-FORMALIZED,LEAN_PROVED,yes,no,none,none
