claim_id,layer,status,lean_module,certificate,book_section,depends_on,exact_finite_object,exact_missing_artifact,is_global_blocker
D0-SM-HYPERCHARGE-ROW-OWNER-001,B,CERT-CLOSED,D0.Matter.SMHyperchargeRowOwner,vp_sm_hypercharge_row_owner.py,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001,5-field anomaly system; cubic factors -18a(t-3a)(t+3a),,False
D0-HYPERCHARGE-FLOW-LATTICE-001,frozen,CERT-CLOSED,D0.Matter.HyperchargeFlowLattice,vp_hypercharge_graph_flow_owner.py,BOOK_04/04.11,,cycle lattice dim 327,,False
D0-SM-HYPERCHARGE-MINIMAL-DENOMINATOR-001,frozen,CERT-CLOSED,D0.Matter.HyperchargeMinimalDenominator,vp_hbar_symplectic_capacity_status.py,BOOK_04,,integer baryon quantization -> denom 6,,False
D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001,frozen,NO-GO,D0.Matter.HyperchargeAnomalyVariety,vp_hypercharge_anomaly_variety.py,BOOK_04/04.11,,"6-field anomaly variety span{Y,B-L}",,False
D0-CKM-CLASS5-SELECTOR-OWNER-001,frozen,CERT-CLOSED,D0.Matter.CKMClass5SelectorOwner,vp_ckm_class5_selector_owner.py,BOOK_04/04.10,,(Z/44)* order-5 winding vs DSigma 5-cycle,,False
D0-CLASS5-ALIASING-001,frozen,CORE-FORMALIZED,D0.Claims.Class5Aliasing,vp_class5_aliasing_cabibbo.py,BOOK_04,,class-5 aliasing exclusion,,False
D0-LEPTON-RIEMANN-HURWITZ-BRANCH-INDEX-001,frozen,CERT-CLOSED,D0.Matter.LeptonRiemannHurwitzBranchIndex,vp_lepton_riemann_hurwitz_branch_index.py,BOOK_04/04.8,,C4xR3 cover; branch index 1/n; genus-0 identity,,False
D0-LEPTON-PUISEUX-UNIQUENESS-OBSTRUCTION-001,frozen,NO-GO,D0.Matter.LeptonPuiseuxUniquenessObstruction,vp_lepton_puiseux_uniqueness_obstruction.py,BOOK_04/04.8,,two 4x4 companions share x^4-lam,,False
D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,frozen,CERT-CLOSED,D0.Matter.HiggsLogdetStationary,vp_higgs_logdet_stationary.py,BOOK_04/04.16,,scalar-sector log-det first variation + stationarity,,False
D0-DSIGMA-ROLE-CYCLE-CARRIER-001,A,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-HYPERCHARGE-FLOW-LATTICE-001,5 DSigma roles + 327-dim cycle lattice,scene-determined map DSigma->Lambda_flow with 5 independent role cycles (not a manual 5-cycle list); Lean owner not built,True
D0-GAUGE-MATTER-ROLE-FUNCTOR-001,A,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-DSIGMA-ROLE-CYCLE-CARRIER-001,role-cycle carrier,functor on the role carrier; depends on the carrier owner,True
D0-HYPERCHARGE-FLOW-TO-WEYL-MAP-001,B,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-DSIGMA-ROLE-CYCLE-CARRIER-001,ker(B) 327-dim flow lattice,explicit Phi: cycle space -> Weyl ledger (the ROW is now owned via anomaly+conventions in D0-SM-HYPERCHARGE-ROW-OWNER-001; the FLOW->ledger map itself is still not constructed),True
D0-HYPERCHARGE-DSIGMA-ROLE-ORTHOGONALITY-001,B,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-DSIGMA-ROLE-CYCLE-CARRIER-001,DSigma role pairing on cycle space,an actual charge equation from role orthogonality (currently supplies no equation on Y),True
D0-HYPERCHARGE-GRAPH-FLOW-OWNER-001,B,PROOF-TARGET,,vp_hypercharge_graph_flow_owner.py,BOOK_04/04.11,D0-HYPERCHARGE-FLOW-TO-WEYL-MAP-001,327-dim flow + 2-dim anomaly space,"the flow->Weyl map Phi; row now owned by anomaly route, flow route still open",True
D0-CKM-ORDER-STEP-DET-SELECTOR-001,C,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-CKM-CLASS5-SELECTOR-OWNER-001,"(Z/44)* order classes 1,4,5,20","a deterministic positive selector sel(order,winding,det,return,orientation) passing class-20 by primitive-winding (not merely by class-5 rejection); class-5 exclusion already closed",True
D0-CKM-FINITE-OVERLAP-INVARIANT-001,C,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,,up/down basis-origin carriers,"concrete finite up/down basis carriers B_up,B_down to form V_mix=B_up^dag B_down and C_CKM=|V_mix_12|^2 (carriers not constructed)",True
D0-CABIBBO-INTERNAL-READOUT-001,C,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-CKM-FINITE-OVERLAP-INVARIANT-001,V_mix overlap,internal overlap invariant + the existing Cabibbo bridge owner,True
D0-LEPTON-SHELL-GREEN-RESOLVENT-001,D,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-LEPTON-RIEMANN-HURWITZ-BRANCH-INDEX-001,C4xR3 companion cover,finite Green resolvent G_shell=(I-zU_eff)^-1 with nonempty non-pole domain; constructible but not built,True
D0-LEPTON-BRANCH-PROJECTOR-OWNER-001,D,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-LEPTON-SHELL-GREEN-RESOLVENT-001,"branch projectors Pi_e,Pi_mu,Pi_tau",operator-determined branch labels -- BOUNDED by D0-LEPTON-PUISEUX-UNIQUENESS-OBSTRUCTION-001 (branch index does NOT uniquely determine the operator); only a non-unique projector family is available,True
D0-LEPTON-INDIRECT-COEFFICIENT-OWNER-001,D,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-LEPTON-SHELL-GREEN-RESOLVENT-001,shell resolvent,"Green resolvent with provable (0,1/4,1/3) + the EFT/IR mass passport; masses stay external",True
D0-HIGGS-PHASON-HESSIAN-SIGN-OWNER-001,E,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,S_fb(theta)=-log det(I-zF(theta)),"the missing finite Q(theta) giving a proven double-well Hessian sign f''(0)<0; variation/stationarity owned, the SSB sign is not forced",True
D0-HIGGS-PHASON-CONDENSATION-OWNER-001,E,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-HIGGS-PHASON-HESSIAN-SIGN-OWNER-001,feedback log-det family,proven nontrivial stable stationary pair (double-well); the exact missing Q(theta) definition,True
D0-GAUGE-MATTER-FUNCTOR-OWNER-001,F,PROOF-TARGET,,,BOOK_04/04.GAUGE-MATTER-FUNCTOR,D0-SM-HYPERCHARGE-ROW-OWNER-001,"closed pieces: hypercharge row, CKM selector, lepton branch-index, Higgs stationarity","assembly over the CLOSED matter pieces is available, but the FULL functor needs the open links (role carrier, lepton resolvent, Higgs double-well, CKM overlap); umbrella stays open",True
