claim_id,book,domain,type,release_status,claim_class,uses_bridge_assumptions,python_cert,lean_status,allowed_publication_verb,publication_boundary,notes
D0-LEAN-CORE-001,Lean formalization,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Release-candidate core status backed by build and CI.
D0-LEAN-BRIDGE-001,Lean formalization,rg,bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,LAB-BRIDGE / EMPIRICAL-PASSPORT,True,,LEAN_PROVED_WITH_BRIDGE_ASSUMPTIONS,models / bridges / motivates / tests; never proves core physics,Conditional bridge row; not a D0-core closure without listed assumptions.,Bridge assumptions isolated from core.
D0-FOUND-001,BOOK_01/02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Exact p+p^2=1 positive root uniqueness.
D0-PHI-HURWITZ-001,BOOK_01/02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,D0 admissible period-one quadratic phase class proved; full global Lagrange spectrum remains external mathematical background.
D0-ABCD-001,BOOK_01,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,ABCD represented as Dyad x Dyad.
D0-OMEGA8-001,BOOK_01,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Omega8 represented as Role x Bool.
D0-CAPACITY-V9-001,BOOK_01/02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,V9 exact cardinality.
D0-CAPACITY-V11-001,BOOK_01/02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,V11 exact cardinality.
D0-CAPACITY-V13-001,BOOK_01/02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,V13 exact cardinality.
D0-SCENE-001,BOOK_01/02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Tripartite counts 33/359/1287.
D0-NCG-INDEX-001,BOOK_02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,No four-partite clique guardrail.
D0-PHASE-UNFOLD-002,BOOK_01/02,formal_core,core,CORE-FORMALIZED,STATUS-CHECK-REQUIRED,False,,LEAN_PROVED,describe only after status audit,Lean-owned finite/formal D0 core statement.,Exact 44 and 710 forced-window arithmetic.
