target_id,module,theorem_name,kind,parked_reason
T_higgs_scalar_projector_constructive_closure,D0.Matter.HiggsScalarProjectorConstructive,Matter.higgs_scalar_projector_constructive_closure,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_higgs_scalar_projector_rank_one_no_go,D0.Matter.HiggsScalarProjectorConstructive,Matter.finite_scalar_projector_rank_one_no_go,NO_GO,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_higgs_scalar_projector_minimal_rank_two,D0.Matter.HiggsScalarProjectorConstructive,Matter.finite_scalar_projector_minimal_rank_two,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_higgs_scalar_projector_rank_two_readout_unique,D0.Matter.HiggsScalarProjectorConstructive,Matter.finite_scalar_projector_rank_two_readout_unique,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_sm_minimal_scalar_action_terms_closed,D0.Gauge.SMScalarActionCompletion,Gauge.sm_minimal_scalar_action_terms_closed,THEOREM,[parked 2026-07-05 G4 release audit] module D0.Gauge.SMScalarActionCompletion does not exist
T_sm_scalar_completion_preserves_frozen_base,D0.Gauge.SMScalarActionCompletion,Gauge.sm_scalar_completion_preserves_frozen_base,THEOREM,[parked 2026-07-05 G4 release audit] module D0.Gauge.SMScalarActionCompletion does not exist
T_sm_scalar_completion_projector_rank_two,D0.Gauge.SMScalarActionCompletion,Gauge.sm_scalar_completion_projector_rank_two,THEOREM,[parked 2026-07-05 G4 release audit] module D0.Gauge.SMScalarActionCompletion does not exist
T_gap_labeling_requires_frozen_operator,D0.Matter.KTheoryGapLabeling,Matter.gap_labeling_requires_frozen_operator,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_meson_domain_wall_spectrum_admits_k0_labels,D0.Matter.KTheoryGapLabeling,Matter.meson_domain_wall_spectrum_admits_k0_labels,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
T_ckm_holonomy_spectrum_admits_k0_labels,D0.Matter.KTheoryGapLabeling,Matter.ckm_holonomy_spectrum_admits_k0_labels,THEOREM,[parked 2026-07-05 G4 release audit] theorem name exists nowhere in the Lean tree (index rot; likely v17-era future target)
