claim_id,evidence_category,release_status,owner
D0-LEAN-CORE-001,CORE,CORE-FORMALIZED,D0.TheoremLedger.ReleaseStatus
D0-LEAN-BRIDGE-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.TheoremLedger.ReleaseStatus
D0-FOUND-001,CORE,CORE-FORMALIZED,D0.Core.Phi
D0-PHI-HURWITZ-001,CORE,CORE-FORMALIZED,D0.NumberTheory.HurwitzMinimaxPhi
D0-ABCD-001,CORE,CORE-FORMALIZED,D0.Core.DyadABCD
D0-OMEGA8-001,CORE,CORE-FORMALIZED,D0.Core.DyadABCD
D0-OMEGA8-CENTER-001,CORE,CORE-FORMALIZED,D0.Foundation.Omega8Center
D0-CAPACITY-V9-001,CORE,CORE-FORMALIZED,D0.Core.FiniteTypes
D0-CAPACITY-V11-001,CORE,CORE-FORMALIZED,D0.Core.FiniteTypes
D0-CAPACITY-V13-001,CORE,CORE-FORMALIZED,D0.Core.FiniteTypes
D0-SCENE-001,CORE,CORE-FORMALIZED,D0.Combinatorics.Tripartite
D0-NCG-INDEX-001,CORE,CORE-FORMALIZED,D0.Combinatorics.Tripartite
D0-PHASE-UNFOLD-002,CORE,CORE-FORMALIZED,D0.Phase
D0-QM-BORN-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Born
D0-QM-BORN-002,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Born
D0-CARRIER-003,FORMALISM/PASSPORT,CORE_BRIDGE_SPLIT,D0.Algebra.Clifford
D0-GAUGE-MATTER-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Topology.BoundaryBoundary
D0-GAUGE-MATTER-002,CORE,CORE-FORMALIZED,D0.Gauge.AnomalySums
D0-RG-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.PhiDiscreteRG
D0-SMOOTH-001,FORMALISM/PASSPORT,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.SmoothMetricBridge
D0-PHASE-TOWER-001,CORE,CORE-FORMALIZED,D0.Combinatorics.PhaseTowerMinimality
D0-PHASE-TOWER-002,NO-GO,NO_GO_PROVED,D0.Combinatorics.InfinitePhaseTower
D0-ARCHIVE-TOWER-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveRefinementTower
D0-ARCHIVE-MODE-EXPONENT-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveModeExponent
D0-ARCHIVE-HEATTRACE-001,CORE,CERT-CLOSED,D0.Geometry.ArchiveHeatTrace
D0-ARCHIVE-LAPLACIAN-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveLaplacianProperties
D0-ARCHIVE-RESOLVENT-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveResolventCompactness
D0-SPECTRAL-ACTION-ADMISS-001,CORE,CERT-CLOSED,D0.Geometry.SpectralActionAdmissibility
D0-HST-ARCHIVE-001,CORE,CERT-CLOSED,D0.Probability.HSTExternalInterface
D0-ARCHIVE-ENTROPY-001,CORE,CERT-CLOSED,D0.Probability.EntropyCouplingKernel
D0-DM-CLASSICALITY-001,CORE,CERT-CLOSED,D0.Detector.WeakCouplingClassicalization
D0-ARCHIVE-GAUSSIAN-CHANNEL-001,CORE,CORE-FORMALIZED,D0.Probability.ArchiveClassicalGaussianChannel
D0-GRAV-QNM-001,NO-GO,NO_GO_PROVED,D0.Gravity.BoundaryRelaxationSpectrum
D0-GENERATION-RAYS-001,NO-GO,NO_GO_PROVED,D0.Spectrum.GenerationSpectralRays
D0-GEN-INDEX-001,CORE,CORE-FORMALIZED,D0.Spectrum.BranchDefectProjectiveGeneration
D0-GEN-MASS-001,NO-GO,NO_GO_PROVED,D0.Spectrum.BranchDefectProjectiveControls
D0-ARCHIVE-PHASE-DISTANCE,CORE,CORE-FORMALIZED,D0.Geometry.ArchivePhaseDistance
D0-ARCHIVE-LAPLACIAN-PHASE-NATURALITY,NO-GO,NO_GO_PROVED,D0.Geometry.ArchiveLaplacianPhaseNaturality
D0-ARCHIVE-PHASE-CURVATURE,CORE,CORE-FORMALIZED,D0.Geometry.ArchivePhaseCurvatureObstruction
D0-ARCHIVE-LAPLACIAN-RG,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveLaplacianRG
D0-ARCHIVE-SEAM-CURVATURE-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveCurvatureDensity
D0-ARCHIVE-ACTION-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveActionFunctional
D0-ARCHIVE-FIELD-EQ-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveFieldEquation
D0-ARCHIVE-BIANCHI-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveBianchiIdentity
D0-MATTER-STRESS-COUPLING-001,CORE,CORE-FORMALIZED,D0.Matter.ArchiveStressCoupling
D0-ARCHIVE-VARIATION-DUAL-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveVariationDual
D0-ARCHIVE-STRESS-REP-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveStressRepresentative
D0-ARCHIVE-WEAK-FIELD-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchivePoissonEquation
D0-MATTER-SOURCE-NEUTRALITY-001,CORE,CORE-FORMALIZED,D0.Matter.GeneratedMatterSource
D0-MATTER-REP-001,CORE,CORE-FORMALIZED,D0.Matter.GenerationMultiplicity
D0-MATTER-ANOMALY-001,CORE,CORE-FORMALIZED,D0.Matter.GenerationAnomalyPreservation
D0-GEOM-OBSTRUCT-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveCurvatureObstruction
D0-ARCHIVE-STRESS-CONSERVATION-001,CORE,CORE-FORMALIZED,D0.Frozen.ConservedStressProjection
D0-ARCHIVE-SCALAR-REDUCTION-001,CORE,CORE-FORMALIZED,D0.Active.ScalarPoissonReduction
D0-MATTER-LOCALIZATION-001,CORE,CORE-FORMALIZED,D0.Active.NonzeroMatterSourceNeutrality
D0-COSMO-HOMOGENEOUS-FIXED-POINT-001,CORE,CORE-FORMALIZED,D0.Cosmology.ArchiveHomogeneousState
D0-COSMO-ZERO-MEAN-UNDERDENSE-001,CORE,CORE-FORMALIZED,D0.Cosmology.ZeroMeanModes
D0-COSMO-TRANSIENT-ACCELERATION-001,CORE,CORE-FORMALIZED,D0.Cosmology.TransientAcceleration
D0-COSMO-INSTABILITY-SATURATION-001,CORE,CORE-FORMALIZED,D0.Cosmology.InstabilitySaturation
D0-COSMO-ENTROPY-FLOW-FIXED-POINT-001,CORE,CORE-FORMALIZED,D0.Cosmology.EntropyArchiveFlow
D0-COSMO-JACOBIAN-INSTABILITY-001,CORE,CORE-FORMALIZED,D0.Cosmology.LinearizedEntropyFlow
D0-COSMO-VOLUME-FLOOR-BOUND-001,CORE,CORE-FORMALIZED,D0.Cosmology.ArchiveVolumeBounds
D0-COSMO-CONCRETE-FLOW-001,CORE,CORE-FORMALIZED,D0.Cosmology.ConcreteEntropyArchiveFlow
D0-COSMO-JACOBIAN-SIGN-001,CORE,CORE-FORMALIZED,D0.Cosmology.EntropyJacobianSign
D0-COSMO-FLOOR-PROJECTION-001,CORE,CORE-FORMALIZED,D0.Cosmology.FloorMassProjection
D0-COSMO-TICK-GAUGE-EQUIV-001,CORE,CORE-FORMALIZED,D0.Geometry.ArchiveTickGaugeFixing
D0-COSMO-WATER-FILLING-001,CORE,CORE-FORMALIZED,D0.Probability.ArchiveFloorWaterFilling
D0-COSMO-CONFORMAL-TRACE-001,CORE,CORE-FORMALIZED,D0.Geometry.ConformalLaplacianTrace
D0-GEOM-HEAT-TRACE-EH-PROXY-001,CORE,CORE-FORMALIZED,D0.Geometry.HeatTraceEHProxy
D0-COSMO-CORE-SHAPE-PASSPORT-BOUNDARY-001,CORE,CORE-FORMALIZED,D0.Cosmology.CoreShapePassportBoundary
D0-GEOM-HEAT-TRACE-A2-DECOMP-001,CORE,CORE-FORMALIZED,D0.Geometry.HeatTraceA2Decomposition
D0-GEOM-SPECTRAL-ACTION-LADDER-001,CORE,CORE-FORMALIZED,D0.Geometry.SpectralActionLadder
D0-GEOM-HIGHER-CURVATURE-FLOOR-BOUND-001,CORE,CORE-FORMALIZED,D0.Geometry.HigherCurvatureSuppression
D0-TRACEABILITY-STATUS-TAXONOMY-001,CORE,CORE-FORMALIZED,D0.Traceability.StatusTaxonomy
D0-OPERATOR-GAUGE-CURVATURE-ORIGIN-001,CORE,CORE-FORMALIZED,D0.Matter.GaugeCurvatureOrigin
D0-OPERATOR-VECTOR-LAPLACIAN-ORIGIN-001,CORE,CORE-FORMALIZED,D0.Matter.VectorOperatorOrigin
D0-OPERATOR-EDGE-STIFFNESS-ORIGIN-001,CORE,CORE-FORMALIZED,D0.Geometry.EdgeStiffnessOrigin
D0-NO-GO-BARE-ARCHIVE-NONABELIAN-001,NO-GO,NO-GO,D0.Bridge.OperatorOriginIndex
