claim_id,previous_status,current_status,owner_module,certificate,book_section,already_done,remaining_artifact,action_required,assigned_agent
D0-STATIC-TO-DYNAMICS-OWNER-001,(prior campaign),CERT-CLOSED,D0.Evolution.StaticToDynamicsOwner,vp_static_to_dynamics_owner.py,BOOK_06/06.8.S,yes,,DONE (closed in a prior committed campaign),C-controller
D0-JY-NONCOMMUTATIVE-ORDER-OBSTRUCTION-001,(prior campaign),CERT-CLOSED,D0.Evolution.JYNoncommutativeOrderObstruction,vp_jy_noncommutative_order_obstruction.py,BOOK_06/06.8.S,yes,,DONE (closed in a prior committed campaign),C-controller
D0-TIME-ARROW-ORDERED-SELF-READOUT-001,(prior campaign),CERT-CLOSED,D0.Evolution.JYNoncommutativeOrderObstruction,vp_jy_noncommutative_order_obstruction.py,BOOK_06/06.8.S,yes,,DONE (closed in a prior committed campaign),C-controller
D0-FESHBACH-SCHUR-TIME-DELAY-OWNER-001,(prior campaign),CERT-CLOSED,D0.Evolution.FeshbachSchurTimeDelayOwner,vp_feshbach_schur_time_delay_owner.py,BOOK_06/06.8,yes,,DONE (closed in a prior committed campaign),C-controller
D0-ARCHIVE-NEUMANN-TICK-OWNER-001,(prior campaign),CERT-CLOSED,D0.Evolution.FeshbachSchurTimeDelayOwner,vp_archive_neumann_tick_owner.py,BOOK_06/06.8,yes,,DONE (closed in a prior committed campaign),C-controller
D0-PHI-FRACTAL-TICK-DYNAMICS-OWNER-001,(prior campaign),CERT-CLOSED,D0.Evolution.PhiFractalTickDynamics,vp_phi_fractal_tick_dynamics.py,BOOK_06/06.6,yes,,DONE (closed in a prior committed campaign),C-controller
D0-CONTINUOUS-TIME-SEMIGROUP-ENVELOPE-001,(prior campaign),CERT-CLOSED,D0.Evolution.PhiFractalTickDynamics,vp_continuous_time_semigroup_envelope.py,BOOK_06/06.6,yes,,DONE (closed in a prior committed campaign),C-controller
D0-DYNAMICS-NOT-PRIMITIVE-CERT-CLOSED-001,(prior campaign),CERT-CLOSED,D0.Evolution.StaticToDynamicsOwner,vp_dynamics_not_primitive.py,BOOK_06/06.8.S,yes,,DONE (closed in a prior committed campaign),C-controller
D0-CONSTRAINED-HAMILTONIAN-EMBEDDING-PASSPORT-001,(prior campaign),PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_06/06.8.H,yes,,DONE (closed in a prior committed campaign),C-controller
D0-NONRECIPROCAL-ACTIVE-DYNAMICS-FORMALISM-BRIDGE-001,(prior campaign),PASSPORT-CLOSED,D0.Bridge.ConstrainedHamiltonianEmbeddingPassport,vp_constrained_hamiltonian_embedding_passport.py,BOOK_03/03.3,yes,,DONE (closed in a prior committed campaign),C-controller
