claim_id,sector,source_master_owner,current_status,terminal_status,frozen_internal_object,proved_result,exact_missing_primitive,external_passport,literature_method,lean_module,certificate,book_section,is_core_blocker
D0-CANONICAL-RENORMALIZATION-SPECTRAL-TOWER-001,tower,A,PROOF-TARGET,CERT-CLOSED,golden cylinder language,canonical refinement tower (algebra+trace+scale),,,SRC-BRATTELI-1972,D0.Geometry.FibonacciBratteliRefinement,vp_fibonacci_bratteli_refinement.py,BOOK_02,False
D0-BRATTELI-FIBONACCI-REFINEMENT-OWNER-001,tower,A,new,CERT-CLOSED,forbid-11 allowed words,M_phi recovered; Perron phi; AF trace ratio phi,,,SRC-BRATTELI-1972,D0.Geometry.FibonacciBratteliRefinement,vp_fibonacci_bratteli_refinement.py,BOOK_02,False
D0-PERRON-SCALE-FLOW-OWNER-001,tower,A,new,CERT-CLOSED,Perron count phi^N,scale ratio forced = phi,,,SRC-BRATTELI-1972,D0.Spectral.CanonicalRefinementScaleFlow,vp_canonical_refinement_scale.py,BOOK_02,False
D0-INDUCTIVE-SPECTRAL-TRIPLE-OWNER-001,tower,A,PROOF-TARGET,PASSPORT-CLOSED,algebra-level Bratteli embeddings,algebra embeds inductively,isometric Dirac-compatible J_N (J_N^dag D J_N=D),ASSUMP-CONNES-RECONSTRUCTION,SRC-LATREMOLIERE-2016,,vp_inductive_spectral_triple_tower.py,BOOK_07,True
D0-ALPHA-PRESENT-CORE-MAXIMALITY-NOGO-001,alpha,A/Alpha,NO-GO,NO-GO-CLOSED,phi-ladder tower,every admissible tower trace-class; coeff 0 != mu_2,Perron-phi^3 carrier (mult ~phi^(3N)),ASSUMP-DIXMIER-TRACE,SRC-DIXMIER-1966,D0.Spectral.AlphaPresentCoreMaximalityNoGo,vp_alpha_present_core_maximality_nogo.py,BOOK_03,False
D0-EXTERNAL-DIXMIER-WODZICKI-PASSPORT-001,alpha,Alpha,new,PASSPORT-CLOSED,finite Feshbach mu_2 + Delta_alpha seam,external residue framework named,,ASSUMP-DIXMIER-TRACE,SRC-WODZICKI-1984,D0.Bridge.DixmierTraceBridge,vp_final_external_passports.py,BOOK_03,False
D0-CMB-CANONICAL-SMOOTHING-MAXIMALITY-NOGO-001,cmb,B,NO-GO,NO-GO-CLOSED,"heat-smoothed tilt over {20,22,24,33}",tilt non-constant over admissible smoothings,"forced (k,u) window",D0-CMB-PHASON-SPECTRUM-OWNER-001 (Planck),,D0.Cosmology.CMBCanonicalSmoothingMaximalityNoGo,vp_cmb_canonical_smoothing_maximality_nogo.py,BOOK_08,False
D0-PHASON-MAGNITUDE-MAXIMALITY-NOGO-001,cosmology,B,NO-GO,NO-GO-CLOSED,Galois sign owner (-phi),two admissible magnitude maps differ,canonical magnitude/branch map,D0-PASSPORT-DESI-BAO-001,,D0.Cosmology.PhasonMagnitudeMaximalityNoGo,vp_phason_magnitude_maximality_nogo.py,BOOK_08,False
D0-HIGGS-CONDENSATION-PRESENT-CORE-MAXIMALITY-NOGO-001,higgs,C,NO-GO,NO-GO-CLOSED,return T; present-core projectors a*1+b*T,all present-core projectors commute (Riesz spectral projector commutes too),"non-commuting frozen (U,Q0,Pi_H) [T,Q0]!=0",,SRC-KATO-1966,D0.Matter.HiggsCondensationPresentCoreMaximalityNoGo,vp_higgs_condensation_present_core_maximality_nogo.py,BOOK_04,True
D0-LEPTON-FINITE-GREEN-RESOLVENT-OWNER-001,matter,D,new,CERT-CLOSED,C4xR3 cyclic cover U_eff,"finite Green resolvent, nonempty non-pole domain",,,SRC-KATO-1966,D0.Matter.LeptonFiniteGreenResolventOwner,vp_lepton_finite_green_resolvent_owner.py,BOOK_04,False
D0-LEPTON-PUISEUX-UNIQUENESS-OBSTRUCTION-001,matter,D,NO-GO,NO-GO-CLOSED,two companions same charpoly x^4-lam,branch index does not pin a unique operator,canonical branch selector,D0-LEPTON-PUISEUX-DECIMAL-SECTION-001 (EFT/IR),SRC-KATO-1966,D0.Matter.LeptonPuiseuxUniquenessObstruction,,BOOK_04,True
D0-CKM-OVERLAP-UNDERDETERMINATION-NOGO-001,matter,D,NO-GO,NO-GO-CLOSED,frozen CKM basis-origin,two admissible completions -> distinct |V12|^2,symmetry-breaking/modulus selector,,,D0.Matter.CKMOverlapUnderdeterminationNoGo,vp_ckm_overlap_underdetermination_nogo.py,BOOK_04,True
D0-ADLER-WEISS-WILLIAMS-PASSPORT-001,geometry,E,new,PASSPORT-CLOSED,integral conjugacy C T C^-1=-M_phi; Lucas seed,internal route closed-negative (seed-Markov no-go),canonical seed-determined Markov partition,ASSUMP-ADLER-WEISS,SRC-ADLER-WEISS-1967,D0.Bridge.AdlerWeissBridge,vp_final_external_passports.py,BOOK_06,False
D0-SMOOTH-QUANTUM-METRIC-PASSPORT-001,geometry,E,new,PASSPORT-CLOSED,inverse-limit tower + golden refinement,present-core tower exists (algebra level),isometric Dirac J_N + Lip-norm/propinquity,ASSUMP-CONNES-RECONSTRUCTION,SRC-LATREMOLIERE-2016,,vp_inductive_spectral_triple_tower.py,BOOK_07,False
D0-HYPERCHARGE-FLOW-ORIGIN-PASSPORT-001,matter,E,PROOF-TARGET,PASSPORT-CLOSED,five-field anomaly row (closed),row owned; flow-origin is a representation question,frozen finite spectral-triple representation module,D0-FINITE-SPECTRAL-TRIPLE-REPRESENTATION-PASSPORT-001,SRC-CONNES-1994,,vp_final_external_passports.py,BOOK_04,True
D0-FINAL-CORE-COMPLETION-001,capstone,F,CORE-FORMALIZED,CORE-FORMALIZED,seven campaign theorems,present-core maximality classified,,,,D0.Verification.PresentCoreMaximality,vp_final_core_maximality.py,BOOK_05,False
