a,b,verdict,justification
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-COMPARISON-MAP-XI-N,independent,"construction dependence only (Xi is built on a refinement tower) - not a derive-edge: two refinement rules give two Xi (witness), and Xi supplies no refinement rule; original 11x11 adjudication upheld"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-DIRAC-SCALE-SELECTION,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-PHYSICAL-MAGNITUDE-MAP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-PHYSICAL-REDSHIFT-OBSERVABLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-FORCED-SMOOTHING-WINDOW,independent,"original 11x11 adjudication; refinement covariance is a CONSTRAINT on smoothing, not a derivation (H-does-not-force pattern)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-LEPTON-BRANCH-FIXING-OPERATOR,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-PERRON-PHI3-CARRIER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-NONCOMMUTING-TRIPLE,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-FINITE-SPECTRAL-TRIPLE-REP,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-BARYON-PHYSICAL-LABEL-TRANSFER,independent,"original 11x11 adjudication (Lean total_extension_primitive_independence; distinct signatures, empty derive-relation)"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-BRANCH-ISOTROPIC-READOUT,independent,"distinct carriers (K(9,11,13) history tower (E2 frontier) vs v15 WP-B 3-block branch-coupling commutant) and distinct moduli (admissible refinement functors (all-walks vs non-backtracking) vs marginal-preserving coherence assignments); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-CANONICAL-SELF-READING-FUNCTOR,derive-edge PRIM-CANONICAL-SELF-READING-FUNCTOR->PRIM-SCENE-HISTORY-REFINEMENT-RULE,[D0-SELF-READING-PRIMITIVE-MINIMALITY-001] conjunction leg E2: forces the scene-history refinement rule
PRIM-SCENE-HISTORY-REFINEMENT-RULE,PRIM-EDGE-HOLONOMY-SELECTOR,independent,"distinct carriers (K(9,11,13) history tower (E2 frontier) vs unified-edge-spine return edge, U(1) lambda-family) and distinct moduli (admissible refinement functors (all-walks vs non-backtracking) vs holonomy PHASE selectors on |lambda|=1); each is the registered completion gap of a different owner (no-go or obligation row); neither completion datum determines the other"
