claim_id,weight,external_question,field,source
D0-M1-PREDICATE-001,3,"Can a physical theory be axiomatised on minimum description length instead of on operational postulates (tomographic locality, continuity)? M1=MDL is a distinct entry point to the same target as the operational reconstructions.",foundations_of_qm,Hardy arXiv:quant-ph/0101012 (2001); Chiribella-D'Ariano-Perinotti PRA 84 012311 (2011); Masanes-Muller NJP 13 053040 (2011)
D0-SYMPLECTIC-GLEASON-001,3,"Gleason's theorem requires dim>=3; in dim 2 the Born rule is NOT derivable from frame functions. The 2D case is a named open loophole, closed in the literature only by moving to POVMs.",foundations_of_qm,Gleason J.Math.Mech. 6 885 (1957); Busch PRL 91 120403 (2003); Caves-Fuchs-Manne-Renes Found.Phys. 34 193 (2004)
D0-BORN-QUADRATIC-ORIGIN-001,3,Why is the measurement response quadratic in the amplitude rather than any other power? The origin of the square is a standing question independent of normalisation.,foundations_of_qm,Gleason (1957); Zurek PRA 71 052105 (2005); Masanes-Muller NJP 13 053040 (2011)
D0-BRANCH-SYMPLECTIC-FORCING-001,3,"Linearity of quantum superposition is a POSTULATE in every standard axiomatisation. Deriving it from a no-external-catalogue requirement would remove a postulate, not restate it.",foundations_of_qm,Dirac Principles (1930) postulate I; Weinberg Ann.Phys. 194 336 (1989) on nonlinear QM tests
D0-PISOT-CONTRACTION-TIME-ARROW-001,3,The thermodynamic arrow of time normally requires an independent low-entropy past hypothesis. Deriving monotonicity from spectral decay of a finite operator removes that separate postulate.,foundations_of_time,Albert Time and Chance (2000); Price Time's Arrow (1996); Wald arXiv:gr-qc/0507094
D0-SIGNATURE-31-SPLIT-001,3,"Where does Lorentzian signature come from in a pregeometric/discrete setting? Recovering (3,1) rather than assuming it is an open problem shared by causal sets, CDT and spin foams.",quantum_gravity,Bombelli-Lee-Meyer-Sorkin PRL 59 521 (1987); Ambjorn-Jurkiewicz-Loll PRL 93 131301 (2004)
D0-KTHEORY-GAP-MODULE-001,1,"Bellissard gap labelling is measurable in Fibonacci quasicrystals, so this is the one laboratory-accessible channel the corpus touches. DEMOTED 2026-07 from weight 3: the D0 label set was checked and is the GENERIC module Z+Z/phi, identical for any Fibonacci hull, so it discriminates nothing (D0-GAP-LABEL-GENERICITY-NOGO-001). The channel stays open only if a forced gap-opening SUBSET is derived.",condensed_matter,Bellissard-Bovier-Ghez Rev.Math.Phys. 4 1 (1992); Kraus-Lahini-Ringel-Verbin-Zilberberg PRL 109 106402 (2012)
D0-GAP-LABELING-OWNER-EDGE-001,1,"Bellissard gap labelling is measurable in Fibonacci quasicrystals, so this is the one laboratory-accessible channel the corpus touches. DEMOTED 2026-07 from weight 3: the D0 label set was checked and is the GENERIC module Z+Z/phi, identical for any Fibonacci hull, so it discriminates nothing (D0-GAP-LABEL-GENERICITY-NOGO-001). The channel stays open only if a forced gap-opening SUBSET is derived.",condensed_matter,Bellissard et al. (1992); Kraus et al. PRL 109 106402 (2012)
D0-PHI-HURWITZ-001,3,"Why phi and not another constant? Hurwitz extremality (phi is the irrational maximally resistant to rational approximation, at every truncation depth) is the arithmetic content that makes the choice non-aesthetic.",number_theory,Hurwitz Math.Ann. 39 279 (1891)
D0-Q8-DEDEKIND-MINIMALITY-001,2,"Q8 is a forced FACTOR of every Hamiltonian group (Dedekind-Baer), not merely the smallest example found by search - so the role algebra is pinned by a classification theorem, not by a scan.",group_theory,Dedekind Math.Ann. 48 548 (1897); Baer Trans.AMS 34 393 (1933)
D0-FIBONACCI-ANYON-UNIQUENESS-001,2,"The Fibonacci category is the unique fusion category with two simple objects and non-trivial self-fusion (Ostrik), giving d=phi independently of the detector argument.",category_theory,Ostrik Math.Res.Lett. 10 177 (2003)
D0-ISING-ANYON-EXCLUSION-001,2,"The companion exclusion: Ising is ruled out by its extra fermion, so the phi-route is not one choice among several.",category_theory,Ostrik Math.Res.Lett. 10 177 (2003)
D0-TIME-2D-PISOT-001,2,"The time layer is 2-dimensional because deg Q(phi)=2, and a smooth Markov partition of a toral automorphism exists iff the spectrum is Pisot - so 2 is the only pathology-free choice.",dynamical_systems,Adler-Weiss PNAS 57 1573 (1967); Bowen Springer LNM 470 (1975)
D0-RANK3-METRIC-TRANSPORT-001,2,"A forced falsifier, now an IFF: the carrier-level spatial transport form is anisotropic EXACTLY when the zones are unequal (D0-TRIPARTITE-SIGNATURE-GENERAL-001 proves both directions, the converse via the AM-GM equality case). Observing an isotropic carrier form would require equal zones and would kill the scene. Planck-suppressed, but structurally a real and now two-sided prediction.",quantum_gravity,internal falsifier; cf. Mattingly Living Rev.Rel. 8 5 (2005) on Lorentz-violation bounds
D0-M1-INFO-RECONSTRUCTION-001,2,The finite-information-capacity premise M1 assumes is exactly the hypothesis from which complex Hilbert space is reconstructed operationally - a cited external anchor for the axiom choice.,foundations_of_qm,Hardy (2001); Masanes-Muller NJP 13 053040 (2011); Renou et al. Nature 600 625 (2021)
D0-ALPHA-HOLONOMY-002,2,"A parameter-free expression for the fine-structure constant. External interest is maximal and the leading term is structurally rare; the 9-digit VALUE remains a consequence-grade check, not a derivation - weight is set at 2 for that reason.",particle_physics,CODATA 2022; internal honest scope note in the registry row
D0-SCENE-STEP-PARITY-001,2,The +2 address step as an orientability condition (a +1 splice would need an exogenous Z2 orientation bit) - the load-bearing parity argument under the whole scene selection.,internal_root,internal; det(T^{n+2})=det(T^n) with the +1 flip as negative control
D0-CASCADE-INSUFFICIENCY-CHAIN-001,3,"Can the structure of a physical theory be DERIVED as a chain of insufficiencies -- each level forced because the previous provably fails a named distinguishability obligation -- rather than posited? This is the claim by which an outside reader would judge the whole programme, and it is the standing answer to the objection that D0's root is verbal.",foundations_of_physics,internal headline target; methodologically the same shape as the operational reconstruction programme (Hardy arXiv:quant-ph/0101012; Masanes-Muller NJP 13 053040) but applied to structure rather than to state space
