claim_id,layer,status,lean_module,certificate,book_section,depends_on,exact_finite_object,exact_missing_artifact,is_global_blocker
D0-DSIGMA-CANONICAL-ROLE-ADDRESS-OWNER-001,A,CERT-CLOSED,D0.Matter.DSigmaRoleTransitionGraph,vp_dsigma_role_transition_graph.py,BOOK_04/04.ROLE-TO-OPERATOR-FUNCTOR,,5-role transition graph (single directed 5-cycle),,False
D0-DSIGMA-ROLE-CYCLE-CARRIER-CANONICAL-NOGO-001,A,NO-GO,D0.Matter.DSigmaRoleCycleCarrierNoGo,vp_dsigma_role_cycle_carrier_nogo.py,BOOK_04/04.ROLE-TO-OPERATOR-FUNCTOR,D0-DSIGMA-CANONICAL-ROLE-ADDRESS-OWNER-001,Aut=S9xS11xS13 transitive on 1287 triangles (1 orbit); 5 roles,,False
D0-SM-HYPERCHARGE-ROW-OWNER-001,B,CERT-CLOSED,D0.Matter.SMHyperchargeRowOwner,vp_sm_hypercharge_row_owner.py,BOOK_04/04.11,,5-field anomaly row,,False
D0-CKM-CLASS5-SELECTOR-OWNER-001,C,CERT-CLOSED,D0.Matter.CKMClass5SelectorOwner,vp_ckm_class5_selector_owner.py,BOOK_04/04.10,,(Z/44)* class-5 exclusion,,False
D0-LEPTON-RIEMANN-HURWITZ-BRANCH-INDEX-001,D,CERT-CLOSED,D0.Matter.LeptonRiemannHurwitzBranchIndex,vp_lepton_riemann_hurwitz_branch_index.py,BOOK_04/04.8,,C4xR3 branch index 1/n,,False
D0-LEPTON-PUISEUX-UNIQUENESS-OBSTRUCTION-001,D,NO-GO,D0.Matter.LeptonPuiseuxUniquenessObstruction,vp_lepton_puiseux_uniqueness_obstruction.py,BOOK_04/04.8,,companion sharing charpoly,,False
D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,E,CERT-CLOSED,D0.Matter.HiggsLogdetStationary,vp_higgs_logdet_stationary.py,BOOK_04/04.16,,scalar-sector log-det stationarity,,False
D0-ROLE-TO-OPERATOR-FUNCTOR-OWNER-001,F,PROOF-TARGET,,,BOOK_04/04.ROLE-TO-OPERATOR-FUNCTOR,D0-DSIGMA-ROLE-CYCLE-CARRIER-CANONICAL-NOGO-001,role-to-operator functor,"a CANONICAL functor cannot be built: its shared role-cycle carrier is a NO-GO (D0-DSIGMA-ROLE-CYCLE-CARRIER-CANONICAL-NOGO-001); only a non-canonical (arbitrary-symmetry-breaking) carrier is available, which the canonical-functor requirement forbids",True
D0-HYPERCHARGE-FLOW-TO-WEYL-MAP-001,B,PROOF-TARGET,,,BOOK_04/04.ROLE-TO-OPERATOR-FUNCTOR,D0-DSIGMA-ROLE-CYCLE-CARRIER-CANONICAL-NOGO-001,327-dim flow lattice,"canonical Phi from flow needs the canonical role carrier (NO-GO); the ROW itself is already owned via the anomaly route (D0-SM-HYPERCHARGE-ROW-OWNER-001), only the canonical flow->ledger origin map is blocked",True
D0-CKM-ROLE-ADDRESS-ACTION-001,C,PROOF-TARGET,,,BOOK_04/04.ROLE-TO-OPERATOR-FUNCTOR,D0-DSIGMA-ROLE-CYCLE-CARRIER-CANONICAL-NOGO-001,U_44 actions on role/winding carriers,the typed address-action collision needs the canonical role carrier (NO-GO); the class-5 exclusion is already owned by the cardinality route (D0-CKM-CLASS5-SELECTOR-OWNER-001),True
D0-ROLE-BOUND-SHELL-GREEN-OPERATOR-001,D,PROOF-TARGET,,,BOOK_04/04.ROLE-TO-OPERATOR-FUNCTOR,D0-DSIGMA-ROLE-CYCLE-CARRIER-CANONICAL-NOGO-001,C4xR3 cover + role boundary conditions,role-bound boundary conditions need the canonical role carrier (NO-GO); branch index already owned and operator-uniqueness already a NO-GO,True
D0-CANONICAL-PHASON-PROJECTOR-ORBIT-001,E,PROOF-TARGET,,,BOOK_04/04.ROLE-TO-OPERATOR-FUNCTOR,D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,q_T=44 toral orbit Q_n=W_n Q_0 W_n^dag,"the finite toral phason orbit (period 44) is independently constructible, but the STABLE stationary pair (double-well Delta2 S_n>0) needs the missing finite Q_0 sign condition; not built this turn",True
