legacy_id,kind,canonical_claim_id,first_reference,note
D0-ACTION-001,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:539,Historical book label retained for textual continuity; carries no independent release status.
D0-BARYON-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1385,Historical book label retained for textual continuity; carries no independent release status.
D0-BARYON-002,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1386,Historical book label retained for textual continuity; carries no independent release status.
D0-BH-CAP-NOGO-001,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:1871,Historical book label retained for textual continuity; carries no independent release status.
D0-BOUND-001,LEGACY_BOOK_LABEL,,BOOK_03_FINITE_ACTION_OPERATORS_AND_SCENE_DYNAMICS.md:541,Historical book label retained for textual continuity; carries no independent release status.
D0-CARRIER-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1393,Historical book label retained for textual continuity; carries no independent release status.
D0-CARRIER-002,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:763,Historical book label retained for textual continuity; carries no independent release status.
D0-CKM-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1383,Historical book label retained for textual continuity; carries no independent release status.
D0-CKM-002,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1384,Historical book label retained for textual continuity; carries no independent release status.
D0-COEFF-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1396,Historical book label retained for textual continuity; carries no independent release status.
D0-COEFF-002,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1397,Historical book label retained for textual continuity; carries no independent release status.
D0-COEFF-003,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1398,Historical book label retained for textual continuity; carries no independent release status.
D0-COLLIDER-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:1407,Historical book label retained for textual continuity; carries no independent release status.
D0-CORE-ELECTROWEAK-QUATERNION-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:2613,Historical book label retained for textual continuity; carries no independent release status.
D0-CORE-HOMOLOGICAL-FORCES-001,LEGACY_BOOK_LABEL,,BOOK_02_MATHEMATICAL_PROOF_SPINE_AND_INVARIANT_CALCULUS.md:2611,Historical book label retained for textual continuity; carries no independent release status.
D0-COSMO-001,LEGACY_BOOK_LABEL,,BOOK_07_GRAVITY_LIMIT_AND_FINITE_GEOMETRY.md:767,Historical book label retained for textual continuity; carries no independent release status.
