claim_id,status,names_missing_primitive_or_external
D0-CVFT-001B,PROOF-TARGET,yes
D0-CVFT-F2,PROOF-TARGET,yes
D0-CVFT-F5,PROOF-TARGET,yes
D0-CVFT-F6,PROOF-TARGET,yes
D0-CVFT-F8,PROOF-TARGET,yes
D0-EDGE-002,PROOF-TARGET,yes
D0-PUB-001,PROOF-TARGET,yes
D0-QUANT-MET-003,PROOF-TARGET,yes
D0-QUANT-MET-004,PROOF-TARGET,yes
D0-SPECTRAL-EINSTEIN-001,PROOF-TARGET,yes
D0-HODGE-LINKS-001,PROOF-TARGET,yes
D0-DUSTY-PLASMA-001,PROOF-TARGET,yes
D0-PASSPORT-DESI-BAO-001,PROOF-TARGET,yes
D0-PASSPORT-ICECUBE-HESE-001,PROOF-TARGET,yes
D0-PASSPORT-LIGO-CATALOG-001,PROOF-TARGET,yes
D0-PASSPORT-SPARC-001,PROOF-TARGET,yes
D0-H0-EVOLVING-W-001,PROOF-TARGET,yes
D0-PMNS-DELTACP-PI0-001,PROOF-TARGET,yes
D0-LEPTON-RAW-GRAPH-COEFFICIENT-OWNER-001,NO-GO,yes
D0-LEPTON-INDIRECT-COEFFICIENT-OWNER-001,PROOF-TARGET,yes
D0-PHASON-WZ-TRANSFER-OWNER-001,NO-GO,yes
D0-PHASON-WZ-EXPLICIT-FUNCTION-001,PROOF-TARGET,yes
D0-ALPHA-FESHBACH-DIXMIER-OWNER-001,PROOF-TARGET,yes
D0-LEPTON-PUISEUX-DECIMAL-SECTION-001,PROOF-TARGET,yes
D0-TORAL-TIME-MARKOV-CONJUGACY-001,PROOF-TARGET,yes
D0-ADLER-WEISS-INTERNAL-CONSTRUCTION-001,PROOF-TARGET,yes
D0-PHASON-WZ-LOGDET-WINDOW-OWNER-001,PROOF-TARGET,yes
D0-HYPERCHARGE-GRAPH-FLOW-OWNER-001,PROOF-TARGET,yes
D0-HIGGS-PHASON-CONDENSATION-OWNER-001,PROOF-TARGET,yes
D0-LEPTON-YUKAWA-HIERARCHY-OWNER-001,PROOF-TARGET,yes
D0-CMB-PHASON-SPECTRUM-OWNER-001,PROOF-TARGET,yes
D0-INFLATIONLESS-EARLY-UNIVERSE-OWNER-001,PROOF-TARGET,yes
D0-HBAR-SYMPLECTIC-CAPACITY-MECH-LIMIT-001,PROOF-TARGET,yes
D0-CKM-CLASS5-PARITY-EXCLUSION-001,NO-GO,yes
D0-PHASON-WDE-Z-MAP-OWNER-001,NO-GO,external (DESI/CPL passport)
D0-CMB-IDS-SMOOTHING-OWNER-001,PROOF-TARGET,yes
D0-INDUCTIVE-SPECTRAL-TRIPLE-OWNER-001,PROOF-TARGET,yes
D0-VNEXT-FESHBACH-TOWER-COMPATIBILITY-OWNER-001,PROOF-TARGET,yes
D0-VNEXT-ISOMETRIC-DIRAC-TOWER-OWNER-001,PROOF-TARGET,yes
D0-VNEXT-AF-D0-FESHBACH-COMPRESSION-OWNER-001,PROOF-TARGET,yes
D0-VNEXT2-ENDPOINT-CONDITIONAL-EXPECTATION-OWNER-001,PROOF-TARGET,yes
D0-VNEXT2-SCENE-SPECTRAL-LIFT-OWNER-001,PROOF-TARGET,yes
D0-VNEXT2-SCENE-FESHBACH-LIFT-OWNER-001,PROOF-TARGET,yes
D0-VNEXT2-SCENE-DIRAC-COVARIANCE-OWNER-001,PROOF-TARGET,yes
