claim_id,plain_language,release_status,owner_lean,owner_cert
D0-LEAN-CORE-001,lean core,CORE-FORMALIZED,D0.TheoremLedger.ReleaseStatus,
D0-LEAN-BRIDGE-001,lean bridge,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.TheoremLedger.ReleaseStatus,
D0-FOUND-001,found,CORE-FORMALIZED,D0.Core.Phi,
D0-PHI-HURWITZ-001,phi hurwitz,CORE-FORMALIZED,D0.NumberTheory.HurwitzMinimaxPhi,vp_v1142_hurwitz_phi_phase_rigidity.py
D0-ABCD-001,abcd,CORE-FORMALIZED,D0.Core.DyadABCD,
D0-OMEGA8-001,omega8,CORE-FORMALIZED,D0.Core.DyadABCD,
D0-OMEGA8-CENTER-001,omega8 center,CORE-FORMALIZED,D0.Foundation.Omega8Center,vp_omega8_center_collapse.py
D0-CAPACITY-V9-001,capacity v9,CORE-FORMALIZED,D0.Core.FiniteTypes,
D0-CAPACITY-V11-001,capacity v11,CORE-FORMALIZED,D0.Core.FiniteTypes,
D0-CAPACITY-V13-001,capacity v13,CORE-FORMALIZED,D0.Core.FiniteTypes,
D0-SCENE-001,scene,CORE-FORMALIZED,D0.Combinatorics.Tripartite,
D0-NCG-INDEX-001,ncg index,CORE-FORMALIZED,D0.Combinatorics.Tripartite,
D0-PHASE-UNFOLD-002,phase unfold 002,CORE-FORMALIZED,D0.Phase,vp_v1143_forced_return_windows_capacity.py
D0-QM-BORN-001,qm born,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Born,
D0-QM-BORN-002,qm born 002,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Born,
D0-CARRIER-003,carrier 003,CORE_BRIDGE_SPLIT,D0.Algebra.Clifford,vp_v1145_operator_bridge_triple.py
D0-GAUGE-MATTER-001,gauge matter,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Topology.BoundaryBoundary,vp_v1132_gauge_matter_ward_anomaly.py
D0-GAUGE-MATTER-002,gauge matter 002,CORE-FORMALIZED,D0.Gauge.AnomalySums,vp_v1132_gauge_matter_ward_anomaly.py
D0-RG-001,rg,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.PhiDiscreteRG,vp_v1145_operator_bridge_triple.py
D0-SMOOTH-001,smooth,BRIDGE-ASSUMPTIONS-EXPLICIT,D0.Bridge.SmoothMetricBridge,vp_v1145_operator_bridge_triple.py
D0-PHASE-TOWER-001,phase tower,CORE-FORMALIZED,D0.Combinatorics.PhaseTowerMinimality,
D0-PHASE-TOWER-002,phase tower 002,NO_GO_PROVED,D0.Combinatorics.InfinitePhaseTower,
D0-ARCHIVE-TOWER-001,archive tower,CORE-FORMALIZED,D0.Geometry.ArchiveRefinementTower,
D0-ARCHIVE-MODE-EXPONENT-001,archive mode exponent,CORE-FORMALIZED,D0.Geometry.ArchiveModeExponent,
