claim_id,value,strength,quadrant,carries,cites,rests_on,depth,genesis,v1_structural,v2_semantic,v3_falsifiable,v4_foundation,v5_external,value_floored,external_question,lean_status,release_status,book,lean_module
D0-M1-PREDICATE-001,75.9,100,FRONT-DOOR,21,1,0,0,True,18.2,16.7,9.0,12.0,20.0,,"Can a physical theory be axiomatised on minimum description length instead of on operational postulates (tomographic locality, continuity)? M1=MDL is a distinct entry point to the same target as the operational reconstructions.",LEAN_PROVED,CORE-FORMALIZED,BOOK_00/05,D0.Foundation.M1Predicate
D0-PHI-HURWITZ-001,64.6,100,FRONT-DOOR,14,0,0,0,True,16.0,12.7,4.0,12.0,20.0,,"Why phi and not another constant? Hurwitz extremality (phi is the irrational maximally resistant to rational approximation, at every truncation depth) is the arithmetic content that makes the choice non-aesthetic.",LEAN_PROVED,CORE-FORMALIZED,BOOK_01/02,D0.NumberTheory.HurwitzMinimaxPhi
D0-FOUND-001,60.4,100,FRONT-DOOR,115,3,0,0,True,28.0,11.4,9.0,12.0,0.0,,,LEAN_PROVED,CORE-FORMALIZED,BOOK_01/02,D0.Core.Phi
D0-P-INVARIANT-MINIMAL-001,60.1,45,ATTACK-QUEUE,2,37,0,0,True,27.8,16.3,13.0,3.0,0.0,,,LEAN_PROVED,PROOF-TARGET,BOOK_01,D0.Foundation.InvariantMinimal
D0-HIGGS-PHASON-ORBIT-TRIVIAL-NOGO-001,57.5,100,FRONT-DOOR,7,3,1,1,False,12.2,20.0,20.0,5.2,0.0,,,LEAN_PROVED,NO-GO,BOOK_04,D0.Matter.HiggsPhasonOrbitNoGo
D0-SIGNATURE-31-SPLIT-001,57.3,100,FRONT-DOOR,13,4,1,1,False,15.5,11.8,4.0,6.0,20.0,,"Where does Lorentzian signature come from in a pregeometric/discrete setting? Recovering (3,1) rather than assuming it is an open problem shared by causal sets, CDT and spin foams.",LEAN_PROVED,CORE-FORMALIZED,BOOK_06/07,D0.Claims.Signature31Split
D0-Q8-DEDEKIND-MINIMALITY-001,56.1,100,FRONT-DOOR,2,5,0,0,True,13.7,13.0,13.0,3.0,13.4,,"Q8 is a forced FACTOR of every Hamiltonian group (Dedekind-Baer), not merely the smallest example found by search - so the role algebra is pinned by a classification theorem, not by a scan.",LEAN_PROVED,CORE-FORMALIZED,BOOK_01,D0.Claims.Q8DedekindMinimality
D0-PHASON-WZ-KERNEL-ONLY-NOGO-001,54.9,100,FRONT-DOOR,0,6,0,0,True,14.9,20.0,20.0,0.0,0.0,,,LEAN_PROVED,NO-GO,BOOK_08,D0.Cosmology.PhasonWZTransfer
D0-ALPHA-PRESENT-CORE-MAXIMALITY-NOGO-001,54.9,100,FRONT-DOOR,6,6,3,3,False,14.9,17.8,20.0,2.2,0.0,,,LEAN_PROVED,NO-GO,BOOK_03,D0.Spectral.AlphaPresentCoreMaximalityNoGo
D0-BORN-QUADRATIC-ORIGIN-001,54.6,100,FRONT-DOOR,3,2,1,1,False,8.4,20.0,4.0,2.2,20.0,,Why is the measurement response quadratic in the amplitude rather than any other power? The origin of the square is a standing question independent of normalisation.,LEAN_PROVED,CORE-FORMALIZED,BOOK_01/02,D0.Core.BornQuadraticOrigin
