claim_id,phase,status,lean_module,certificate,family_or_branch,exact_missing_primitive,downstream_gate
D0-VNEXT2-SCENE-FINGERPRINT-OWNER-001,1.2,CERT-CLOSED,D0.VNext2.SceneSpectralFingerprint,vp_vnext2_scene_native_input_audit.py,scene fingerprint,,none
D0-VNEXT2-SCENE-NATIVE-REFINEMENT-OWNER-001,A,NO-GO,D0.VNext2.SceneNativeRefinementClassification,vp_vnext2_scene_native_refinement_category.py,W/NB/E,PRIM-SCENE-HISTORY-REFINEMENT-RULE,none
D0-VNEXT2-TRIPARTITE-PATH-TOWER-OWNER-001,A,NO-GO,D0.VNext2.SceneNativeRefinementClassification,vp_vnext2_tripartite_path_tower_classification.py,W/NB/E,PRIM-SCENE-HISTORY-REFINEMENT-RULE,none
D0-VNEXT2-SCENE-NATIVE-REFINEMENT-NOGO-001,A,NO-GO,D0.VNext2.SceneNativeRefinementClassification,vp_vnext2_tripartite_path_tower_classification.py,Outcome D,PRIM-SCENE-HISTORY-REFINEMENT-RULE,none
D0-VNEXT2-ENDPOINT-CONDITIONAL-EXPECTATION-OWNER-001,B,PROOF-TARGET,,vp_vnext2_endpoint_conditional_expectation.py,measure+family,PRIM-SCENE-HISTORY-REFINEMENT-RULE,none
D0-VNEXT2-SCENE-XI-INTERTWINER-OWNER-001,B,NO-GO,D0.VNext2.SceneNativeRefinementClassification,vp_vnext2_tripartite_scene_xi_intertwiner.py,Xi,PRIM-COMPARISON-MAP-XI-N,none
D0-VNEXT2-XI-MAXIMALITY-NOGO-001,B,NO-GO,D0.VNext2.SceneNativeRefinementClassification,vp_vnext2_tripartite_scene_xi_intertwiner.py,Xi,PRIM-COMPARISON-MAP-XI-N,none
D0-VNEXT2-SCENE-SPECTRAL-LIFT-OWNER-001,C,PROOF-TARGET,,vp_vnext2_scene_spectral_intertwining.py,spectral lift,PRIM-COMPARISON-MAP-XI-N,none
D0-VNEXT2-SCENE-FESHBACH-LIFT-OWNER-001,D,PROOF-TARGET,,vp_vnext2_scene_native_feshbach_lift.py,Feshbach,PRIM-COMPARISON-MAP-XI-N,none
D0-VNEXT2-SCENE-DIRAC-COVARIANCE-OWNER-001,E,PROOF-TARGET,,vp_vnext2_scene_dirac_covariance_selection.py,scale,PRIM-DIRAC-SCALE-SELECTION,none
D0-VNEXT2-DIRAC-COVARIANCE-MAXIMALITY-NOGO-001,E,NO-GO,D0.VNext2.SceneNativeRefinementClassification,vp_vnext2_scene_native_scale_cocycles.py,scale,PRIM-DIRAC-SCALE-SELECTION,none
D0-VNEXT2-SCENE-NATIVE-MAXIMALITY-OWNER-001,F,NO-GO,D0.VNext2.SceneNativeRefinementClassification,vp_vnext2_scene_native_maximality.py,all branches,PRIM-SCENE-HISTORY-REFINEMENT-RULE,none
D0-VNEXT2-SCENE-NATIVE-CLOSURE-BOUNDARY-001,F,NO-GO,D0.VNext2.SceneNativeRefinementClassification,vp_vnext2_no_false_physical_promotion.py,boundary,PRIM-SCENE-HISTORY-REFINEMENT-RULE,none
