claim_id,front,status,lean_module,certificate,book_section,depends_on,remaining_artifact,is_global_blocker
D0-DIXMIER-FESHBACH-FINITE-HEATTRACE-001,F1,NO-GO,D0.Spectral.DixmierFeshbachFiniteHeatTrace,vp_dixmier_feshbach_finite_heattrace.py,BOOK_02/02.13,,,False
D0-LEPTON-RIEMANN-HURWITZ-BRANCH-INDEX-001,F3,CERT-CLOSED,D0.Matter.LeptonRiemannHurwitzBranchIndex,vp_lepton_riemann_hurwitz_branch_index.py,BOOK_04/04.8,,,False
D0-PHASON-ARCHIVE-CAPACITY-REDSHIFT-001,F4,CERT-CLOSED,D0.Cosmology.PhasonArchiveCapacityRedshift,vp_phason_archive_capacity_redshift.py,BOOK_08/08.51,,,False
D0-WILLIAMS-SHIFT-EQUIVALENCE-OWNER-001,F5,CERT-CLOSED,D0.Dynamics.ToralShiftEquivalence,vp_toral_shift_equivalence.py,BOOK_06/06.30a,,,False
D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001,F7,NO-GO,D0.Matter.HyperchargeAnomalyVariety,vp_hypercharge_anomaly_variety.py,BOOK_04/04.11,,,False
D0-CMB-NS-LAPLACIAN-IDS-OWNER-001,F8,CERT-CLOSED,D0.Cosmology.CMBLaplacianIDS,vp_cmb_ns_laplacian_ids.py,BOOK_08/08.v15,,,False
D0-CKM-CLASS5-SELECTOR-OWNER-001,F2,CERT-CLOSED,D0.Matter.CKMClass5SelectorOwner,vp_ckm_class5_selector_owner.py,BOOK_04/04.10,,,False
D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,F6,CERT-CLOSED,D0.Matter.HiggsLogdetStationary,vp_higgs_logdet_stationary.py,BOOK_04/04.16,,,False
D0-PHASON-WDE-Z-MAP-OWNER-001,F4,NO-GO,,vp_phason_wde_z_map_owner.py,BOOK_08/08.51,D0-PHASON-ARCHIVE-CAPACITY-REDSHIFT-001,"RESOLVED: continuum interpolation CLOSED (D0-PHASON-CONTINUUM-ENVELOPE-OWNER-001, CERT); sign OWNED (D0-PHASON-WDE-SIGN-NORMALIZATION-OWNER-001, Galois -phi); residual magnitude z-profile is NO-GO (D0-PHASON-MAGNITUDE-MAXIMALITY-NOGO-001) + external DESI/CPL passport (D0-PHASON-WZ-CPL-PASSPORT-001). No open internal artifact.",False
D0-CMB-IDS-SMOOTHING-OWNER-001,F8,PROOF-TARGET,,,BOOK_08/08.v15,D0-CMB-NS-LAPLACIAN-IDS-OWNER-001,canonical internally-forced smoothing functional/evaluation rule fixing the pair (k u) so n_s collapses to a single determined value,True
D0-ALPHA-FESHBACH-DIXMIER-OWNER-001,F1,PROOF-TARGET,D0.Spectral.AlphaFeshbachDixmierOwner,vp_alpha_feshbach_dixmier_owner.py,BOOK_02/02.13,D0-DIXMIER-RESIDUE-OWNER-001,residue->Delta_alpha normalization via the 2^11 active-archive pairing over the infinite/profinite tower (external Dixmier/Wodzicki extraction),True
D0-LEPTON-INDIRECT-COEFFICIENT-OWNER-001,F3,PROOF-TARGET,,,BOOK_04/04.8,D0-LEPTON-RIEMANN-HURWITZ-BRANCH-INDEX-001,finite Green resolvent G_shell with provably-(0 1/4 1/3) branch indices plus operator uniqueness (branch index alone does not determine the operator),True
D0-PHASON-WZ-EXPLICIT-FUNCTION-001,F4,PROOF-TARGET,,,BOOK_08/08.51,D0-PHASON-WDE-Z-MAP-OWNER-001,continuum interpolation owner of the integer-window ratio,True
D0-TORAL-TIME-MARKOV-CONJUGACY-001,F5,PROOF-TARGET,,,BOOK_06/06.30a,D0-ADLER-WEISS-PARTITION-OWNER-001,explicit Williams strong-shift-equivalence chain witnessing topological conjugacy (SE invariants are necessary not sufficient),True
D0-HIGGS-PHASON-CONDENSATION-OWNER-001,F6,PROOF-TARGET,,,BOOK_04/04.16,D0-HIGGS-LOGDET-STATIONARY-POTENTIAL-001,proven double-well negative-quadratic sign f''(0)<0 (the spontaneous-symmetry-breaking condition is not forced),True
D0-HYPERCHARGE-GRAPH-FLOW-OWNER-001,F7,PROOF-TARGET,,,BOOK_04/04.11,D0-HYPERCHARGE-ANOMALY-VARIETY-2DIM-001,internally-derived selector for Y_nuRc=0 plus up/down branch selector (the flow->Weyl ledger map Phi); anomaly+constraints leave a 2-dim variety,True
D0-CMB-PHASON-SPECTRUM-OWNER-001,F8,PROOF-TARGET,,,BOOK_08/08.v15,D0-CMB-IDS-SMOOTHING-OWNER-001,the n_s=f({lambda_i}) value once a canonical smoothing rule is forced,True
