claim_id,passport_type,owner_cert,non_promotion
D0-LEAN-BRIDGE-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-QM-BORN-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-QM-BORN-002,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-CARRIER-003,CORE_BRIDGE_SPLIT,vp_v1145_operator_bridge_triple.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-GAUGE-MATTER-001,BRIDGE-ASSUMPTIONS-EXPLICIT,vp_v1132_gauge_matter_ward_anomaly.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-RG-001,BRIDGE-ASSUMPTIONS-EXPLICIT,vp_v1145_operator_bridge_triple.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-SMOOTH-001,BRIDGE-ASSUMPTIONS-EXPLICIT,vp_v1145_operator_bridge_triple.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-GAUGE-YANG-MILLS-KILLING-POSITIVITY-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-BRIDGE-SI-CALIBRATION-BOUNDARY-001,BRIDGE-CALIBRATION,vp_si_calibration_boundary.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-BRIDGE-SI-CALIBRATION-CLOSURE-001,BRIDGE-CALIBRATION,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-INTERPRETATION-SPINE-001,CORE_BRIDGE_SPLIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-GRAVITY-MACRO-EINSTEIN-INTERFACE-001,CORE_BRIDGE_SPLIT,vp_macro_einstein_interface.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-TRACE-HEAT-CAPACITY-GRAVITY-001,CORE_BRIDGE_SPLIT,vp_trace_heat_capacity_gravity.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-ICECUBE-001,EMPIRICAL-PASSPORT,vp_neutrino_phason_decoherence_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-CRITICAL-COLLAPSE-001,CORE_BRIDGE_SPLIT,vp_critical_collapse_dss_echo_lattice.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-PASSPORT-CORE13-001,EMPIRICAL-PASSPORT,vp_core13_shell_geometry_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-PASSPORT-PDG-STRICT-001,EMPIRICAL-PASSPORT,vp_pdg_strict_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-GRAVASTAR-GW-FALSIFIER-001,EMPIRICAL-PASSPORT,vp_gravastar_gw_falsifier.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-PMNS-DELTA0-NUFIT-001,EMPIRICAL-PASSPORT,vp_pmns_delta0_nufit.py;vp_pmns_baseline_correction.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-HIGGS-CUBE-DIAGONAL-001,BRIDGE-CALIBRATION,vp_higgs_cube_forcing.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-CONNES-RECONSTRUCTION-OWNER-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-DIXMIER-RESIDUE-OWNER-001,BRIDGE-ASSUMPTIONS-EXPLICIT,vp_cvft_clifford_fock_capacity.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-RIEFFEL-GHP-CONTINUUM-OWNER-001,BRIDGE-ASSUMPTIONS-EXPLICIT,vp_connes_distance_geodesic.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-TIME-MODULAR-FLOW-OWNER-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-ADLER-WEISS-PARTITION-OWNER-001,BRIDGE-ASSUMPTIONS-EXPLICIT,vp_fibonacci_if_bratteli.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-COMPLEX-QM-FORCING-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-M1-INFO-RECONSTRUCTION-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-ENTROPIC-DARK-GRAVITY-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-RANK3-CAUSAL-CONE-FORCING-001,CORE_BRIDGE_SPLIT,vp_rank3_causal_cone_forcing.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-FROBENIUS-DIVISION-3D-001,BRIDGE-ASSUMPTIONS-EXPLICIT,vp_frobenius_division_3d.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-LATTICE-FINITENESS-BRIDGE-001,BRIDGE-ASSUMPTIONS-EXPLICIT,vp_lattice_finiteness_bridge.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-HODGE-M1-REDUCTIO-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-RIEMANN-AXIS-M1-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-PVSNP-LYAPUNOV-M1-001,BRIDGE-ASSUMPTIONS-EXPLICIT,,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-ALPHA-MEASUREMENT-LIMIT-001,EMPIRICAL-PASSPORT,vp_alpha_measurement_limit.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-PHI-CSTAR-PASSPORT-001,PASSPORT-CLOSED,vp_phi_cstar_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-NEUTRINO-MASS-PASSPORT-001,PASSPORT-CLOSED,vp_neutrino_mass_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-SMOOTH-MANIFOLD-PASSPORT-001,PASSPORT-CLOSED,vp_smooth_manifold_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-PHASON-WZ-CPL-PASSPORT-001,PASSPORT-CLOSED,vp_phason_wz_cpl_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-SMOOTH-MANIFOLD-INTERNAL-LIMIT-001,PASSPORT-CLOSED,vp_smooth_manifold_internal_limit.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-CONSTRAINED-HAMILTONIAN-EMBEDDING-PASSPORT-001,PASSPORT-CLOSED,vp_constrained_hamiltonian_embedding_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-NONRECIPROCAL-ACTIVE-DYNAMICS-FORMALISM-BRIDGE-001,PASSPORT-CLOSED,vp_constrained_hamiltonian_embedding_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-FESHBACH-CONSTRAINT-SUBMANIFOLD-BRIDGE-001,PASSPORT-CLOSED,vp_constrained_hamiltonian_embedding_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-FLOQUET-NONRECIPROCAL-DYNAMICS-BRIDGE-001,PASSPORT-CLOSED,vp_constrained_hamiltonian_embedding_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-EXTERNAL-DIXMIER-WODZICKI-PASSPORT-001,PASSPORT-CLOSED,vp_final_external_passports.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-ADLER-WEISS-WILLIAMS-PASSPORT-001,PASSPORT-CLOSED,vp_final_external_passports.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-SMOOTH-QUANTUM-METRIC-PASSPORT-001,PASSPORT-CLOSED,vp_inductive_spectral_triple_tower.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-FINITE-SPECTRAL-TRIPLE-REPRESENTATION-PASSPORT-001,PASSPORT-CLOSED,vp_final_external_passports.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-HYPERCHARGE-FLOW-ORIGIN-PASSPORT-001,PASSPORT-CLOSED,vp_final_external_passports.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-VNEXT-QUANTUM-METRIC-EXTENSION-PASSPORT-001,PASSPORT-CLOSED,vp_vnext_quantum_metric_extension_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-HORIZONLESS-ECHO-PASSPORT-001,PASSPORT-CLOSED,vp_echo_no_detection_overclaim.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-ECHO-NEGATIVE-CONTROL-PROTOCOL-001,PASSPORT-CLOSED,vp_echo_passport_negative_controls.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
D0-SMOOTH-MANIFOLD-FORMALISM-PASSPORT-001,PASSPORT-CLOSED,vp_smooth_manifold_formalism_passport.py,frozen internal object + external map + PASS/FAIL + controls; never CORE
